count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
168.0,436.0,11.0,296.0,0.0,21205.0,277160.0,80625.0,60035.0,0.0,126.0,635.0,7329.0,202.0,0.0
465.0,446.0,35.0,230.0,0.0,65941.0,208213.0,184582.0,51056.0,0.0,141.0,466.0,5273.0,221.0,0.0
437.0,432.0,40.0,220.0,0.0,59613.0,211498.0,201287.0,54464.0,0.0,136.0,489.0,5032.0,247.0,0.0
498.0,424.0,36.0,247.0,0.0,61020.0,226751.0,201192.0,77186.0,0.0,122.0,534.0,5588.0,312.0,0.0
463.0,416.0,42.0,268.0,0.0,60517.0,211261.0,218499.0,61197.0,0.0,130.0,507.0,5202.0,228.0,0.0
560.0,419.0,46.0,219.0,0.0,87679.0,211583.0,239349.0,54550.0,0.0,156.0,504.0,5203.0,249.0,0.0
561.0,413.0,44.0,266.0,0.0,80659.0,205125.0,259946.0,75085.0,0.0,143.0,496.0,5907.0,282.0,0.0
494.0,448.0,46.0,250.0,0.0,74260.0,199322.0,231515.0,68416.0,0.0,150.0,444.0,5032.0,273.0,0.0
454.0,455.0,40.0,245.0,0.0,61394.0,215568.0,216152.0,64125.0,0.0,135.0,473.0,5403.0,261.0,0.0
432.0,453.0,43.0,243.0,0.0,56971.0,220833.0,222001.0,67623.0,0.0,131.0,487.0,5162.0,278.0,0.0
479.0,469.0,46.0,249.0,0.0,68103.0,211666.0,247768.0,75769.0,0.0,142.0,451.0,5386.0,304.0,0.0
548.0,466.0,48.0,247.0,0.0,79180.0,225900.0,269251.0,80625.0,0.0,144.0,484.0,5609.0,326.0,0.0
549.0,494.0,50.0,236.0,0.0,81353.0,249138.0,266101.0,82147.0,0.0,148.0,504.0,5322.0,348.0,0.0
497.0,487.0,48.0,244.0,0.0,74274.0,242071.0,262061.0,81680.0,0.0,149.0,497.0,5459.0,334.0,0.0
547.0,485.0,48.0,244.0,0.0,87022.0,220642.0,275555.0,72404.0,0.0,159.0,454.0,5740.0,296.0,0.0
496.0,477.0,38.0,256.0,0.0,75869.0,228433.0,250119.0,93012.0,0.0,152.0,478.0,6582.0,363.0,0.0
564.0,490.0,48.0,265.0,0.0,89882.0,250171.0,268970.0,90199.0,0.0,159.0,510.0,5603.0,340.0,0.0
513.0,547.0,47.0,237.0,0.0,75946.0,258526.0,279782.0,78426.0,0.0,148.0,472.0,5952.0,330.0,0.0
464.0,524.0,48.0,251.0,0.0,67079.0,236412.0,282493.0,83901.0,0.0,144.0,451.0,5885.0,334.0,0.0
554.0,516.0,53.0,283.0,0.0,82075.0,244279.0,300236.0,82688.0,0.0,148.0,473.0,5664.0,292.0,0.0
550.0,513.0,43.0,273.0,0.0,78003.0,247471.0,316712.0,96390.0,0.0,141.0,482.0,7365.0,353.0,0.0
594.0,516.0,51.0,274.0,0.0,90274.0,271164.0,338838.0,112136.0,0.0,151.0,525.0,6643.0,409.0,0.0
517.0,545.0,43.0,264.0,0.0,77041.0,262418.0,303648.0,91715.0,0.0,149.0,481.0,7061.0,347.0,0.0
546.0,531.0,46.0,295.0,0.0,82760.0,273273.0,303300.0,126467.0,0.0,151.0,514.0,6593.0,428.0,0.0
499.0,531.0,44.0,279.0,0.0,71468.0,261389.0,324630.0,84632.0,0.0,143.0,492.0,7377.0,303.0,0.0
538.0,509.0,55.0,263.0,0.0,77698.0,231623.0,367731.0,113350.0,0.0,144.0,455.0,6686.0,430.0,0.0
493.0,535.0,56.0,261.0,0.0,77014.0,255426.0,352073.0,83933.0,0.0,156.0,477.0,6287.0,321.0,0.0
465.0,581.0,47.0,280.0,0.0,59545.0,274893.0,323607.0,92259.0,0.0,128.0,473.0,6885.0,329.0,0.0
540.0,562.0,59.0,237.0,0.0,83635.0,263530.0,378330.0,92862.0,0.0,154.0,468.0,6412.0,391.0,0.0
559.0,560.0,58.0,272.0,0.0,89415.0,265544.0,381734.0,93106.0,0.0,159.0,474.0,6581.0,342.0,0.0
