count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
317.0,387.0,20.0,233.0,0.0,50488.0,225119.0,165225.0,60964.0,0.0,159.0,581.0,8261.0,261.0,0.0
309.0,424.0,21.0,264.0,0.0,35358.0,217102.0,142617.0,59138.0,0.0,114.0,512.0,6791.0,224.0,0.0
382.0,399.0,29.0,244.0,0.0,56355.0,182182.0,199329.0,62595.0,0.0,147.0,456.0,6873.0,256.0,0.0
532.0,377.0,30.0,226.0,0.0,86412.0,209470.0,213059.0,95384.0,0.0,162.0,555.0,7101.0,422.0,0.0
467.0,401.0,31.0,250.0,0.0,79531.0,201886.0,223588.0,90121.0,0.0,170.0,503.0,7212.0,360.0,0.0
332.0,415.0,31.0,284.0,0.0,39159.0,195990.0,210810.0,73241.0,0.0,117.0,472.0,6800.0,257.0,0.0
398.0,440.0,26.0,261.0,0.0,55326.0,218603.0,198605.0,79925.0,0.0,139.0,496.0,7638.0,306.0,0.0
293.0,438.0,26.0,254.0,0.0,39197.0,232106.0,169202.0,65514.0,0.0,133.0,529.0,6507.0,257.0,0.0
288.0,447.0,28.0,274.0,0.0,32390.0,218646.0,175344.0,65947.0,0.0,112.0,489.0,6262.0,240.0,0.0
413.0,418.0,31.0,271.0,0.0,51686.0,233358.0,203253.0,78459.0,0.0,125.0,558.0,6556.0,289.0,0.0
447.0,424.0,33.0,280.0,0.0,57109.0,235905.0,207819.0,87581.0,0.0,127.0,556.0,6297.0,312.0,0.0
372.0,439.0,30.0,290.0,0.0,44300.0,241036.0,192323.0,78310.0,0.0,119.0,549.0,6410.0,270.0,0.0
503.0,435.0,31.0,243.0,0.0,76618.0,250209.0,233772.0,99347.0,0.0,152.0,575.0,7541.0,408.0,0.0
530.0,421.0,43.0,241.0,0.0,81690.0,229263.0,278317.0,92251.0,0.0,154.0,544.0,6472.0,382.0,0.0
385.0,446.0,33.0,297.0,0.0,50726.0,235612.0,215457.0,86904.0,0.0,131.0,528.0,6529.0,292.0,0.0
496.0,434.0,40.0,277.0,0.0,70110.0,227591.0,275830.0,91474.0,0.0,141.0,524.0,6895.0,330.0,0.0
466.0,453.0,37.0,258.0,0.0,71109.0,225708.0,268995.0,65659.0,0.0,152.0,498.0,7270.0,254.0,0.0
482.0,409.0,40.0,277.0,0.0,68562.0,225694.0,286536.0,101941.0,0.0,142.0,551.0,7163.0,368.0,0.0
537.0,406.0,46.0,293.0,0.0,83505.0,214136.0,336528.0,106968.0,0.0,155.0,527.0,7315.0,365.0,0.0
466.0,474.0,30.0,269.0,0.0,66745.0,264730.0,257702.0,84654.0,0.0,143.0,558.0,8590.0,314.0,0.0
401.0,510.0,33.0,272.0,0.0,47552.0,249013.0,244195.0,66637.0,0.0,118.0,488.0,7399.0,244.0,0.0
540.0,455.0,37.0,265.0,0.0,87576.0,241306.0,322176.0,86445.0,0.0,162.0,530.0,8707.0,326.0,0.0
438.0,509.0,33.0,279.0,0.0,61752.0,243062.0,287842.0,93632.0,0.0,140.0,477.0,8722.0,335.0,0.0
560.0,485.0,37.0,259.0,0.0,83619.0,257778.0,359659.0,94930.0,0.0,149.0,531.0,9720.0,366.0,0.0
506.0,476.0,42.0,255.0,0.0,69180.0,255588.0,338856.0,85922.0,0.0,136.0,536.0,8068.0,336.0,0.0
462.0,483.0,36.0,261.0,0.0,64874.0,250555.0,342706.0,91523.0,0.0,140.0,518.0,9519.0,350.0,0.0
585.0,472.0,42.0,277.0,0.0,80024.0,259759.0,365592.0,99187.0,0.0,136.0,550.0,8704.0,358.0,0.0
550.0,502.0,38.0,286.0,0.0,88731.0,267747.0,344663.0,115792.0,0.0,161.0,533.0,9070.0,404.0,0.0
523.0,515.0,39.0,303.0,0.0,78968.0,247638.0,347237.0,110368.0,0.0,150.0,480.0,8903.0,364.0,0.0
535.0,552.0,36.0,308.0,0.0,78114.0,265662.0,336483.0,119670.0,0.0,146.0,481.0,9346.0,388.0,0.0
516.0,488.0,44.0,314.0,0.0,86803.0,263385.0,388503.0,122879.0,0.0,168.0,539.0,8829.0,391.0,0.0
547.0,529.0,36.0,302.0,0.0,76556.0,284753.0,342893.0,104897.0,0.0,139.0,538.0,9524.0,347.0,0.0
542.0,526.0,43.0,314.0,0.0,83370.0,270110.0,385915.0,121358.0,0.0,153.0,513.0,8974.0,386.0,0.0
545.0,556.0,44.0,301.0,0.0,85093.0,285504.0,395468.0,116809.0,0.0,156.0,513.0,8987.0,388.0,0.0
534.0,557.0,37.0,323.0,0.0,78796.0,283855.0,358906.0,109007.0,0.0,147.0,509.0,9700.0,337.0,0.0
