count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
135.0,441.0,12.0,202.0,0.0,17565.0,286952.0,86332.0,41388.0,0.0,130.0,650.0,7194.0,204.0,0.0
242.0,489.0,20.0,218.0,0.0,32128.0,250609.0,135809.0,42455.0,0.0,132.0,512.0,6790.0,194.0,0.0
288.0,502.0,29.0,221.0,0.0,35335.0,236213.0,176692.0,79633.0,0.0,122.0,470.0,6092.0,360.0,0.0
156.0,474.0,23.0,209.0,0.0,18072.0,238967.0,134934.0,43373.0,0.0,115.0,504.0,5866.0,207.0,0.0
178.0,513.0,25.0,195.0,0.0,20687.0,242130.0,157158.0,40401.0,0.0,116.0,471.0,6286.0,207.0,0.0
190.0,526.0,22.0,191.0,0.0,26492.0,263050.0,140990.0,39140.0,0.0,139.0,500.0,6408.0,204.0,0.0
269.0,491.0,32.0,189.0,0.0,45223.0,236297.0,196989.0,40739.0,0.0,168.0,481.0,6155.0,215.0,0.0
264.0,503.0,31.0,190.0,0.0,39873.0,253632.0,196878.0,41974.0,0.0,151.0,504.0,6350.0,220.0,0.0
297.0,480.0,32.0,188.0,0.0,44925.0,237730.0,191508.0,47141.0,0.0,151.0,495.0,5984.0,250.0,0.0
264.0,482.0,34.0,194.0,0.0,35224.0,220288.0,221921.0,55684.0,0.0,133.0,457.0,6527.0,287.0,0.0
320.0,481.0,37.0,220.0,0.0,46978.0,214414.0,252717.0,60168.0,0.0,146.0,445.0,6830.0,273.0,0.0
262.0,502.0,37.0,173.0,0.0,34446.0,236372.0,234393.0,33037.0,0.0,131.0,470.0,6334.0,190.0,0.0
265.0,498.0,31.0,195.0,0.0,40200.0,224897.0,225510.0,44522.0,0.0,151.0,451.0,7274.0,228.0,0.0
183.0,512.0,36.0,201.0,0.0,24932.0,216435.0,234571.0,40382.0,0.0,136.0,422.0,6515.0,200.0,0.0
226.0,505.0,30.0,202.0,0.0,27020.0,242305.0,225660.0,42529.0,0.0,119.0,479.0,7522.0,210.0,0.0
281.0,508.0,38.0,216.0,0.0,47829.0,237078.0,281469.0,48262.0,0.0,170.0,466.0,7407.0,223.0,0.0
236.0,485.0,32.0,215.0,0.0,38189.0,231973.0,291069.0,47150.0,0.0,161.0,478.0,9095.0,219.0,0.0
238.0,516.0,34.0,202.0,0.0,34570.0,229964.0,270313.0,46271.0,0.0,145.0,445.0,7950.0,229.0,0.0
159.0,525.0,32.0,228.0,0.0,20743.0,245538.0,258463.0,46942.0,0.0,130.0,467.0,8076.0,205.0,0.0
138.0,559.0,33.0,195.0,0.0,15603.0,249258.0,257496.0,41827.0,0.0,113.0,445.0,7802.0,214.0,0.0
172.0,556.0,38.0,215.0,0.0,20166.0,248160.0,285583.0,43163.0,0.0,117.0,446.0,7515.0,200.0,0.0
191.0,536.0,32.0,247.0,0.0,23913.0,258560.0,277821.0,59453.0,0.0,125.0,482.0,8681.0,240.0,0.0
154.0,570.0,39.0,227.0,0.0,20950.0,241213.0,292380.0,44569.0,0.0,136.0,423.0,7496.0,196.0,0.0
184.0,606.0,36.0,225.0,0.0,23557.0,265639.0,291501.0,43609.0,0.0,128.0,438.0,8097.0,193.0,0.0
298.0,568.0,39.0,207.0,0.0,42011.0,257342.0,341022.0,66123.0,0.0,140.0,453.0,8744.0,319.0,0.0
201.0,575.0,38.0,233.0,0.0,34016.0,246723.0,337535.0,48659.0,0.0,169.0,429.0,8882.0,208.0,0.0
120.0,628.0,38.0,221.0,0.0,14099.0,270797.0,314866.0,45959.0,0.0,117.0,431.0,8285.0,207.0,0.0
123.0,603.0,40.0,256.0,0.0,12427.0,253749.0,333217.0,54415.0,0.0,101.0,420.0,8330.0,212.0,0.0
148.0,606.0,36.0,232.0,0.0,15883.0,250712.0,346800.0,50032.0,0.0,107.0,413.0,9633.0,215.0,0.0
168.0,617.0,42.0,241.0,0.0,26713.0,265404.0,361697.0,47663.0,0.0,159.0,430.0,8611.0,197.0,0.0
194.0,638.0,35.0,245.0,0.0,26185.0,286810.0,357793.0,51957.0,0.0,134.0,449.0,10222.0,212.0,0.0
176.0,652.0,34.0,246.0,0.0,25197.0,288983.0,363975.0,54879.0,0.0,143.0,443.0,10705.0,223.0,0.0
176.0,647.0,34.0,228.0,0.0,23712.0,288515.0,360574.0,56347.0,0.0,134.0,445.0,10605.0,247.0,0.0
173.0,668.0,36.0,233.0,0.0,21104.0,291965.0,383022.0,53243.0,0.0,121.0,437.0,10639.0,228.0,0.0
134.0,701.0,41.0,223.0,0.0,15202.0,285297.0,387560.0,45858.0,0.0,113.0,406.0,9452.0,205.0,0.0
193.0,670.0,39.0,213.0,0.0,25703.0,290812.0,409078.0,42494.0,0.0,133.0,434.0,10489.0,199.0,0.0
180.0,654.0,35.0,253.0,0.0,19650.0,295897.0,403536.0,53536.0,0.0,109.0,452.0,11529.0,211.0,0.0
204.0,667.0,41.0,249.0,0.0,24951.0,276801.0,433960.0,51212.0,0.0,122.0,414.0,10584.0,205.0,0.0
110.0,692.0,33.0,247.0,0.0,11401.0,318461.0,394049.0,49332.0,0.0,103.0,460.0,11940.0,199.0,0.0
72.0,489.0,22.0,170.0,4.0,9429.0,180183.0,186104.0,40089.0,1164963.0,130.0,368.0,8459.0,235.0,291240.0
162.0,656.0,52.0,259.0,0.0,23068.0,266863.0,521345.0,54118.0,0.0,142.0,406.0,10025.0,208.0,0.0
60.0,746.0,40.0,202.0,0.0,6468.0,256217.0,402515.0,38123.0,0.0,107.0,343.0,10062.0,188.0,0.0
143.0,693.0,48.0,264.0,0.0,17452.0,281257.0,479503.0,58331.0,0.0,122.0,405.0,9989.0,220.0,0.0
155.0,676.0,48.0,271.0,0.0,16174.0,280835.0,465513.0,58335.0,0.0,104.0,415.0,9698.0,215.0,0.0
120.0,627.0,53.0,254.0,0.0,16460.0,240485.0,487125.0,68552.0,0.0,137.0,383.0,9191.0,269.0,0.0
145.0,682.0,47.0,286.0,0.0,17101.0,269168.0,476282.0,63304.0,0.0,117.0,394.0,10133.0,221.0,0.0
148.0,641.0,43.0,263.0,0.0,18484.0,288723.0,484919.0,59759.0,0.0,124.0,450.0,11277.0,227.0,0.0
108.0,701.0,38.0,268.0,0.0,12857.0,314273.0,482059.0,69966.0,0.0,119.0,448.0,12685.0,261.0,0.0
120.0,725.0,41.0,290.0,0.0,15804.0,274965.0,477712.0,71878.0,0.0,131.0,379.0,11651.0,247.0,0.0
134.0,660.0,36.0,314.0,0.0,16097.0,270474.0,501988.0,73591.0,0.0,120.0,409.0,13944.0,234.0,0.0
193.0,624.0,53.0,336.0,0.0,27997.0,296026.0,566854.0,111456.0,0.0,145.0,474.0,10695.0,331.0,0.0
154.0,675.0,43.0,325.0,0.0,25670.0,281546.0,521235.0,91257.0,0.0,166.0,417.0,12121.0,280.0,0.0
86.0,713.0,30.0,274.0,0.0,12845.0,264093.0,479337.0,62465.0,0.0,149.0,370.0,15977.0,227.0,0.0
138.0,656.0,30.0,320.0,0.0,24244.0,296556.0,499590.0,89687.0,0.0,175.0,452.0,16653.0,280.0,0.0
113.0,757.0,29.0,272.0,0.0,19142.0,289600.0,499555.0,52114.0,0.0,169.0,382.0,17226.0,191.0,0.0
145.0,747.0,41.0,290.0,0.0,21423.0,297884.0,539352.0,69959.0,0.0,147.0,398.0,13154.0,241.0,0.0
202.0,671.0,39.0,346.0,1.0,26489.0,315276.0,556007.0,97243.0,81086.0,131.0,469.0,14256.0,281.0,81086.0
177.0,693.0,41.0,344.0,0.0,20372.0,320216.0,569218.0,91946.0,0.0,115.0,462.0,13883.0,267.0,0.0
