count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
114.0,412.0,16.0,175.0,0.0,13893.0,218683.0,121930.0,30112.0,0.0,121.0,530.0,7620.0,172.0,0.0
225.0,411.0,22.0,208.0,0.0,33685.0,207886.0,160801.0,53843.0,0.0,149.0,505.0,7309.0,258.0,0.0
277.0,402.0,22.0,188.0,0.0,45756.0,217007.0,159892.0,38362.0,0.0,165.0,539.0,7267.0,204.0,0.0
281.0,406.0,27.0,182.0,0.0,34927.0,201436.0,184939.0,49812.0,0.0,124.0,496.0,6849.0,273.0,0.0
303.0,396.0,27.0,179.0,0.0,40674.0,202855.0,197928.0,39645.0,0.0,134.0,512.0,7330.0,221.0,0.0
242.0,409.0,25.0,186.0,0.0,28853.0,203953.0,186575.0,45850.0,0.0,119.0,498.0,7463.0,246.0,0.0
282.0,419.0,23.0,201.0,0.0,37060.0,220237.0,171762.0,48212.0,0.0,131.0,525.0,7467.0,239.0,0.0
228.0,418.0,25.0,213.0,0.0,45974.0,190607.0,178146.0,42436.0,0.0,201.0,455.0,7125.0,199.0,0.0
257.0,408.0,24.0,189.0,0.0,34651.0,204280.0,173473.0,41615.0,0.0,134.0,500.0,7228.0,220.0,0.0
270.0,395.0,20.0,235.0,0.0,44035.0,196653.0,173584.0,60710.0,0.0,163.0,497.0,8679.0,258.0,0.0
288.0,417.0,22.0,232.0,0.0,38200.0,215991.0,175641.0,58028.0,0.0,132.0,517.0,7983.0,250.0,0.0
274.0,431.0,28.0,220.0,0.0,34234.0,206900.0,186944.0,52091.0,0.0,124.0,480.0,6676.0,236.0,0.0
287.0,426.0,25.0,221.0,0.0,36822.0,222817.0,175796.0,57681.0,0.0,128.0,523.0,7031.0,261.0,0.0
286.0,409.0,26.0,250.0,0.0,35840.0,209582.0,196719.0,56496.0,0.0,125.0,512.0,7566.0,225.0,0.0
314.0,433.0,26.0,247.0,0.0,39478.0,213524.0,196783.0,61160.0,0.0,125.0,493.0,7568.0,247.0,0.0
322.0,452.0,23.0,239.0,0.0,45764.0,229606.0,194823.0,61027.0,0.0,142.0,507.0,8470.0,255.0,0.0
282.0,470.0,26.0,252.0,0.0,32777.0,223806.0,215240.0,51899.0,0.0,116.0,476.0,8278.0,205.0,0.0
317.0,455.0,29.0,244.0,0.0,41850.0,228556.0,211721.0,53971.0,0.0,132.0,502.0,7300.0,221.0,0.0
259.0,462.0,26.0,283.0,0.0,33945.0,228977.0,207617.0,56319.0,0.0,131.0,495.0,7985.0,199.0,0.0
295.0,481.0,23.0,275.0,0.0,36187.0,255659.0,196832.0,62374.0,0.0,122.0,531.0,8557.0,226.0,0.0
260.0,486.0,24.0,281.0,0.0,32372.0,259061.0,199998.0,62212.0,0.0,124.0,533.0,8333.0,221.0,0.0
268.0,466.0,26.0,284.0,0.0,31756.0,248208.0,218753.0,71084.0,0.0,118.0,532.0,8413.0,250.0,0.0
310.0,454.0,28.0,281.0,0.0,39085.0,232744.0,230718.0,75657.0,0.0,126.0,512.0,8239.0,269.0,0.0
