count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
223.0,424.0,25.0,233.0,0.0,24293.0,256751.0,177105.0,43133.0,0.0,108.0,605.0,7084.0,185.0,0.0
344.0,450.0,32.0,227.0,0.0,41743.0,235305.0,213762.0,68415.0,0.0,121.0,522.0,6680.0,301.0,0.0
255.0,468.0,24.0,206.0,0.0,44979.0,245502.0,168708.0,34910.0,0.0,176.0,524.0,7029.0,169.0,0.0
239.0,451.0,26.0,205.0,0.0,29020.0,239200.0,177608.0,45187.0,0.0,121.0,530.0,6831.0,220.0,0.0
398.0,482.0,34.0,205.0,0.0,68520.0,243749.0,224563.0,46620.0,0.0,172.0,505.0,6604.0,227.0,0.0
366.0,462.0,35.0,207.0,0.0,56736.0,242313.0,213113.0,63266.0,0.0,155.0,524.0,6088.0,305.0,0.0
385.0,472.0,37.0,233.0,0.0,57050.0,245770.0,228777.0,48936.0,0.0,148.0,520.0,6183.0,210.0,0.0
225.0,510.0,30.0,215.0,0.0,22519.0,239561.0,206271.0,37774.0,0.0,100.0,469.0,6875.0,175.0,0.0
285.0,483.0,31.0,262.0,0.0,34761.0,232827.0,215025.0,59358.0,0.0,121.0,482.0,6936.0,226.0,0.0
320.0,498.0,32.0,258.0,0.0,43124.0,238439.0,251612.0,52093.0,0.0,134.0,478.0,7862.0,201.0,0.0
361.0,500.0,37.0,259.0,0.0,55043.0,215023.0,247615.0,61364.0,0.0,152.0,430.0,6692.0,236.0,0.0
353.0,527.0,36.0,237.0,0.0,48208.0,231416.0,245703.0,57660.0,0.0,136.0,439.0,6825.0,243.0,0.0
276.0,551.0,33.0,241.0,0.0,28771.0,247555.0,219064.0,37298.0,0.0,104.0,449.0,6638.0,154.0,0.0
307.0,532.0,34.0,260.0,0.0,36759.0,242860.0,237272.0,48752.0,0.0,119.0,456.0,6978.0,187.0,0.0
342.0,591.0,37.0,280.0,0.0,50697.0,249155.0,268252.0,67182.0,0.0,148.0,421.0,7250.0,239.0,0.0
280.0,557.0,34.0,278.0,0.0,34314.0,240546.0,250105.0,46557.0,0.0,122.0,431.0,7356.0,167.0,0.0
361.0,534.0,36.0,257.0,0.0,47339.0,238408.0,271567.0,46100.0,0.0,131.0,446.0,7543.0,179.0,0.0
361.0,547.0,37.0,272.0,0.0,54682.0,235394.0,296924.0,64743.0,0.0,151.0,430.0,8024.0,238.0,0.0
370.0,573.0,29.0,302.0,0.0,49339.0,270826.0,234105.0,57984.0,0.0,133.0,472.0,8072.0,192.0,0.0
323.0,598.0,30.0,271.0,0.0,34373.0,264379.0,257176.0,52027.0,0.0,106.0,442.0,8572.0,191.0,0.0
