count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
173.0,424.0,23.0,195.0,0.0,22487.0,226554.0,137158.0,35166.0,0.0,129.0,534.0,5963.0,180.0,0.0
190.0,416.0,20.0,231.0,0.0,29848.0,212561.0,138705.0,48604.0,0.0,157.0,510.0,6935.0,210.0,0.0
180.0,412.0,25.0,199.0,0.0,19220.0,204544.0,181987.0,41669.0,0.0,106.0,496.0,7279.0,209.0,0.0
194.0,440.0,23.0,211.0,0.0,21116.0,229563.0,170774.0,41156.0,0.0,108.0,521.0,7424.0,195.0,0.0
198.0,431.0,22.0,227.0,0.0,24349.0,223414.0,140813.0,57286.0,0.0,122.0,518.0,6400.0,252.0,0.0
121.0,418.0,22.0,255.0,0.0,12593.0,210918.0,151003.0,42387.0,0.0,104.0,504.0,6863.0,166.0,0.0
146.0,391.0,23.0,220.0,0.0,16888.0,205846.0,144411.0,41201.0,0.0,115.0,526.0,6278.0,187.0,0.0
184.0,436.0,27.0,213.0,0.0,25862.0,204570.0,182898.0,35828.0,0.0,140.0,469.0,6774.0,168.0,0.0
192.0,420.0,24.0,220.0,0.0,21373.0,220510.0,154254.0,43234.0,0.0,111.0,525.0,6427.0,196.0,0.0
238.0,462.0,30.0,222.0,0.0,33178.0,217790.0,175551.0,42276.0,0.0,139.0,471.0,5851.0,190.0,0.0
107.0,467.0,22.0,227.0,0.0,13093.0,221540.0,150669.0,32290.0,0.0,122.0,474.0,6848.0,142.0,0.0
185.0,491.0,27.0,201.0,0.0,20564.0,219520.0,176429.0,40906.0,0.0,111.0,447.0,6534.0,203.0,0.0
269.0,446.0,29.0,233.0,0.0,32682.0,223288.0,205791.0,47139.0,0.0,121.0,500.0,7096.0,202.0,0.0
224.0,506.0,23.0,224.0,0.0,26398.0,235899.0,173642.0,41766.0,0.0,117.0,466.0,7549.0,186.0,0.0
343.0,496.0,33.0,258.0,0.0,41118.0,218462.0,232338.0,67840.0,0.0,119.0,440.0,7040.0,262.0,0.0
290.0,475.0,27.0,253.0,0.0,32235.0,240038.0,204573.0,54019.0,0.0,111.0,505.0,7576.0,213.0,0.0
222.0,503.0,27.0,254.0,0.0,23637.0,245248.0,195685.0,38043.0,0.0,106.0,487.0,7247.0,149.0,0.0
300.0,481.0,28.0,271.0,0.0,44139.0,246062.0,219594.0,53663.0,0.0,147.0,511.0,7842.0,198.0,0.0
297.0,490.0,30.0,263.0,0.0,40566.0,248837.0,230651.0,56479.0,0.0,136.0,507.0,7688.0,214.0,0.0
332.0,540.0,30.0,256.0,0.0,38475.0,260896.0,225775.0,53817.0,0.0,115.0,483.0,7525.0,210.0,0.0
269.0,513.0,33.0,239.0,0.0,31470.0,256715.0,232797.0,56367.0,0.0,116.0,500.0,7054.0,235.0,0.0
351.0,526.0,33.0,251.0,0.0,47168.0,268503.0,257349.0,64594.0,0.0,134.0,510.0,7798.0,257.0,0.0
183.0,576.0,25.0,263.0,0.0,23516.0,268638.0,224466.0,47283.0,0.0,128.0,466.0,8978.0,179.0,0.0
210.0,583.0,32.0,270.0,0.0,26449.0,265517.0,224971.0,56895.0,0.0,125.0,455.0,7030.0,210.0,0.0
288.0,561.0,29.0,265.0,0.0,36224.0,283586.0,266157.0,60070.0,0.0,125.0,505.0,9177.0,226.0,0.0
