count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
214.0,424.0,19.0,186.0,0.0,27078.0,256974.0,133449.0,43930.0,0.0,126.0,606.0,7023.0,236.0,0.0
305.0,418.0,21.0,231.0,0.0,47901.0,236420.0,162651.0,51089.0,0.0,157.0,565.0,7745.0,221.0,0.0
291.0,398.0,30.0,254.0,0.0,38398.0,210941.0,171937.0,56915.0,0.0,131.0,530.0,5731.0,224.0,0.0
272.0,359.0,23.0,267.0,0.0,35777.0,227488.0,167816.0,68570.0,0.0,131.0,633.0,7296.0,256.0,0.0
325.0,377.0,26.0,231.0,0.0,39737.0,223148.0,177062.0,60758.0,0.0,122.0,591.0,6810.0,263.0,0.0
388.0,371.0,34.0,224.0,0.0,53742.0,183666.0,226661.0,60055.0,0.0,138.0,495.0,6666.0,268.0,0.0
331.0,407.0,31.0,218.0,0.0,40475.0,214511.0,203937.0,52472.0,0.0,122.0,527.0,6578.0,240.0,0.0
276.0,390.0,28.0,250.0,0.0,37700.0,207236.0,191350.0,49520.0,0.0,136.0,531.0,6833.0,198.0,0.0
201.0,413.0,28.0,241.0,0.0,23562.0,210994.0,192144.0,40273.0,0.0,117.0,510.0,6862.0,167.0,0.0
261.0,415.0,30.0,226.0,0.0,33278.0,221680.0,206510.0,41146.0,0.0,127.0,534.0,6883.0,182.0,0.0
172.0,451.0,29.0,238.0,0.0,18463.0,218209.0,191854.0,41686.0,0.0,107.0,483.0,6615.0,175.0,0.0
254.0,426.0,26.0,240.0,0.0,32203.0,228116.0,194505.0,49031.0,0.0,126.0,535.0,7480.0,204.0,0.0
161.0,471.0,27.0,239.0,0.0,16710.0,229179.0,187283.0,41798.0,0.0,103.0,486.0,6936.0,174.0,0.0
272.0,479.0,25.0,231.0,0.0,30061.0,234904.0,201594.0,43244.0,0.0,110.0,490.0,8063.0,187.0,0.0
298.0,482.0,28.0,235.0,0.0,37641.0,254846.0,205193.0,49699.0,0.0,126.0,528.0,7328.0,211.0,0.0
317.0,468.0,26.0,236.0,0.0,42321.0,244522.0,217753.0,48203.0,0.0,133.0,522.0,8375.0,204.0,0.0
246.0,470.0,29.0,238.0,0.0,28534.0,242422.0,204120.0,49591.0,0.0,115.0,515.0,7038.0,208.0,0.0
239.0,457.0,28.0,274.0,0.0,28047.0,222853.0,222554.0,51349.0,0.0,117.0,487.0,7948.0,187.0,0.0
156.0,492.0,31.0,235.0,0.0,15784.0,217870.0,233614.0,36546.0,0.0,101.0,442.0,7535.0,155.0,0.0
190.0,475.0,32.0,235.0,0.0,23994.0,239077.0,231980.0,41522.0,0.0,126.0,503.0,7249.0,176.0,0.0
277.0,499.0,31.0,214.0,0.0,34053.0,243217.0,254283.0,46139.0,0.0,122.0,487.0,8202.0,215.0,0.0
287.0,514.0,32.0,239.0,0.0,32676.0,237884.0,257994.0,50146.0,0.0,113.0,462.0,8062.0,209.0,0.0
198.0,508.0,33.0,250.0,0.0,24017.0,236996.0,260910.0,45510.0,0.0,121.0,466.0,7906.0,182.0,0.0
286.0,510.0,37.0,240.0,0.0,33839.0,226797.0,286532.0,47863.0,0.0,118.0,444.0,7744.0,199.0,0.0
208.0,505.0,38.0,247.0,0.0,26098.0,211745.0,297247.0,58331.0,0.0,125.0,419.0,7822.0,236.0,0.0
277.0,522.0,36.0,257.0,0.0,44170.0,227601.0,322836.0,59819.0,0.0,159.0,436.0,8967.0,232.0,0.0
238.0,521.0,37.0,238.0,0.0,28447.0,225032.0,325006.0,56879.0,0.0,119.0,431.0,8783.0,238.0,0.0
210.0,588.0,35.0,265.0,0.0,24443.0,248314.0,300043.0,60201.0,0.0,116.0,422.0,8572.0,227.0,0.0
235.0,553.0,41.0,251.0,0.0,28382.0,230451.0,343446.0,43088.0,0.0,120.0,416.0,8376.0,171.0,0.0
298.0,544.0,43.0,251.0,0.0,38117.0,236892.0,360587.0,60878.0,0.0,127.0,435.0,8385.0,242.0,0.0
211.0,598.0,36.0,242.0,0.0,27056.0,257377.0,301864.0,51470.0,0.0,128.0,430.0,8385.0,212.0,0.0
206.0,576.0,42.0,264.0,0.0,23811.0,227540.0,335558.0,63339.0,0.0,115.0,395.0,7989.0,239.0,0.0
201.0,583.0,38.0,252.0,0.0,23945.0,237017.0,345668.0,48304.0,0.0,119.0,406.0,9096.0,191.0,0.0
179.0,560.0,36.0,273.0,0.0,19719.0,239953.0,368825.0,53939.0,0.0,110.0,428.0,10245.0,197.0,0.0
236.0,554.0,39.0,243.0,1.0,33449.0,244022.0,369942.0,48110.0,47006.0,141.0,440.0,9485.0,197.0,47006.0
221.0,572.0,42.0,246.0,1.0,26777.0,243148.0,367575.0,48353.0,55253.0,121.0,425.0,8751.0,196.0,55253.0
184.0,608.0,43.0,275.0,0.0,22108.0,257033.0,355325.0,52467.0,0.0,120.0,422.0,8263.0,190.0,0.0
171.0,620.0,44.0,281.0,0.0,18153.0,252720.0,384618.0,60599.0,0.0,106.0,407.0,8741.0,215.0,0.0
269.0,556.0,44.0,254.0,0.0,34652.0,258662.0,436470.0,53451.0,0.0,128.0,465.0,9919.0,210.0,0.0
49.0,775.0,25.0,250.0,1.0,5212.0,328057.0,347131.0,38788.0,64732.0,106.0,423.0,13885.0,155.0,64732.0
131.0,698.0,62.0,281.0,0.0,15050.0,261822.0,544702.0,47180.0,0.0,114.0,375.0,8785.0,167.0,0.0
142.0,701.0,64.0,227.0,1.0,14746.0,269363.0,494322.0,35531.0,70922.0,103.0,384.0,7723.0,156.0,70922.0
109.0,685.0,62.0,204.0,0.0,11629.0,251415.0,559816.0,26677.0,0.0,106.0,367.0,9029.0,130.0,0.0
142.0,618.0,65.0,247.0,0.0,13444.0,246877.0,605350.0,31721.0,0.0,94.0,399.0,9313.0,128.0,0.0
94.0,704.0,61.0,178.0,0.0,11751.0,257670.0,529215.0,24330.0,0.0,125.0,366.0,8675.0,136.0,0.0
65.0,720.0,49.0,207.0,0.0,8539.0,271329.0,455957.0,30597.0,0.0,131.0,376.0,9305.0,147.0,0.0
219.0,597.0,66.0,246.0,2.0,30525.0,233585.0,524920.0,52598.0,164720.0,139.0,391.0,7953.0,213.0,82360.0
78.0,714.0,53.0,207.0,0.0,7998.0,240257.0,534348.0,36088.0,0.0,102.0,336.0,10082.0,174.0,0.0
85.0,701.0,57.0,235.0,1.0,8382.0,236697.0,501686.0,35988.0,75677.0,98.0,337.0,8801.0,153.0,75677.0
93.0,676.0,52.0,233.0,1.0,11146.0,235501.0,478711.0,45125.0,77989.0,119.0,348.0,9205.0,193.0,77989.0
133.0,597.0,57.0,281.0,2.0,15993.0,206347.0,481229.0,59439.0,170550.0,120.0,345.0,8442.0,211.0,85275.0
144.0,627.0,57.0,256.0,0.0,18516.0,220513.0,650420.0,44063.0,0.0,128.0,351.0,11410.0,172.0,0.0
103.0,668.0,54.0,259.0,1.0,13995.0,221107.0,546727.0,38013.0,62994.0,135.0,330.0,10124.0,146.0,62994.0
62.0,726.0,34.0,236.0,1.0,5511.0,227214.0,400368.0,38803.0,64414.0,88.0,312.0,11775.0,164.0,64414.0
122.0,718.0,55.0,276.0,1.0,13378.0,237784.0,589586.0,52113.0,69188.0,109.0,331.0,10719.0,188.0,69188.0
148.0,763.0,52.0,287.0,1.0,17330.0,249412.0,550586.0,60549.0,91522.0,117.0,326.0,10588.0,210.0,91522.0
154.0,754.0,54.0,307.0,1.0,17851.0,247051.0,580620.0,70869.0,76878.0,115.0,327.0,10752.0,230.0,76878.0
84.0,762.0,50.0,238.0,1.0,10548.0,225891.0,504324.0,32299.0,70294.0,125.0,296.0,10086.0,135.0,70294.0
279.0,689.0,53.0,304.0,3.0,32910.0,250615.0,434984.0,71619.0,396552.0,117.0,363.0,8207.0,235.0,132184.0
164.0,725.0,62.0,314.0,1.0,20052.0,244895.0,641419.0,55363.0,68714.0,122.0,337.0,10345.0,176.0,68714.0
96.0,717.0,47.0,283.0,1.0,12716.0,242915.0,532047.0,40672.0,67558.0,132.0,338.0,11320.0,143.0,67558.0
75.0,715.0,48.0,262.0,1.0,8104.0,232397.0,511333.0,39143.0,66974.0,108.0,325.0,10652.0,149.0,66974.0
148.0,702.0,52.0,328.0,2.0,19966.0,253519.0,592188.0,60858.0,133201.0,134.0,361.0,11388.0,185.0,66600.0
187.0,660.0,54.0,335.0,3.0,25414.0,237976.0,547917.0,72389.0,264299.0,135.0,360.0,10146.0,216.0,88099.0
267.0,673.0,55.0,324.0,3.0,30285.0,243131.0,587547.0,65597.0,292789.0,113.0,361.0,10682.0,202.0,97596.0
106.0,722.0,49.0,229.0,1.0,14405.0,215625.0,602227.0,37788.0,66922.0,135.0,298.0,12290.0,165.0,66922.0
76.0,779.0,45.0,218.0,1.0,11006.0,223751.0,562056.0,37983.0,104991.0,144.0,287.0,12490.0,174.0,104991.0
208.0,674.0,57.0,305.0,1.0,22048.0,236931.0,609072.0,67023.0,229070.0,106.0,351.0,10685.0,219.0,229070.0
159.0,641.0,55.0,304.0,2.0,20961.0,230366.0,630758.0,68362.0,179582.0,131.0,359.0,11468.0,224.0,89791.0
258.0,664.0,54.0,290.0,1.0,35157.0,246352.0,750156.0,64376.0,125780.0,136.0,371.0,13891.0,221.0,125780.0
207.0,676.0,58.0,353.0,2.0,28928.0,223477.0,653434.0,75528.0,213463.0,139.0,330.0,11266.0,213.0,106731.0
118.0,714.0,54.0,284.0,1.0,15526.0,236309.0,715179.0,56821.0,75861.0,131.0,330.0,13244.0,200.0,75861.0
282.0,687.0,66.0,345.0,3.0,37429.0,241822.0,705636.0,69870.0,236838.0,132.0,351.0,10691.0,202.0,78946.0
258.0,727.0,65.0,321.0,3.0,31958.0,248905.0,705385.0,78015.0,219827.0,123.0,342.0,10852.0,243.0,73275.0
240.0,759.0,54.0,370.0,2.0,27329.0,256118.0,739961.0,82630.0,146926.0,113.0,337.0,13702.0,223.0,73463.0
175.0,755.0,57.0,367.0,1.0,21739.0,257797.0,792602.0,77704.0,88820.0,124.0,341.0,13905.0,211.0,88820.0
247.0,695.0,66.0,334.0,1.0,29861.0,260430.0,887491.0,71221.0,79414.0,120.0,374.0,13446.0,213.0,79414.0
209.0,724.0,68.0,323.0,1.0,25624.0,257870.0,868613.0,63994.0,79905.0,122.0,356.0,12773.0,198.0,79905.0
