count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
160.0,253.0,5.0,152.0,0.0,17547.0,215910.0,32804.0,45716.0,0.0,109.0,853.0,6560.0,300.0,0.0
252.0,251.0,19.0,107.0,0.0,32703.0,201101.0,80549.0,35642.0,0.0,129.0,801.0,4239.0,333.0,0.0
353.0,245.0,27.0,131.0,0.0,47630.0,172302.0,120822.0,54220.0,0.0,134.0,703.0,4474.0,413.0,0.0
435.0,257.0,27.0,132.0,0.0,66493.0,186691.0,128449.0,56822.0,0.0,152.0,726.0,4757.0,430.0,0.0
304.0,237.0,29.0,143.0,0.0,40322.0,164359.0,129119.0,54884.0,0.0,132.0,693.0,4452.0,383.0,0.0
328.0,266.0,32.0,136.0,0.0,43572.0,170254.0,158108.0,57958.0,0.0,132.0,640.0,4940.0,426.0,0.0
277.0,254.0,37.0,119.0,0.0,44856.0,154527.0,168399.0,53100.0,0.0,161.0,608.0,4551.0,446.0,0.0
280.0,260.0,30.0,136.0,0.0,44928.0,172211.0,148073.0,47342.0,0.0,160.0,662.0,4935.0,348.0,0.0
314.0,275.0,43.0,147.0,0.0,44727.0,143856.0,179388.0,64761.0,0.0,142.0,523.0,4171.0,440.0,0.0
300.0,254.0,45.0,133.0,0.0,42547.0,146596.0,198861.0,49965.0,0.0,141.0,577.0,4419.0,375.0,0.0
293.0,295.0,49.0,134.0,0.0,42790.0,159660.0,208469.0,57844.0,0.0,146.0,541.0,4254.0,431.0,0.0
314.0,300.0,36.0,154.0,0.0,43883.0,181039.0,175406.0,53165.0,0.0,139.0,603.0,4872.0,345.0,0.0
257.0,311.0,47.0,147.0,0.0,35737.0,175010.0,201724.0,45208.0,0.0,139.0,562.0,4292.0,307.0,0.0
275.0,292.0,43.0,130.0,0.0,36240.0,181088.0,212470.0,30864.0,0.0,131.0,620.0,4941.0,237.0,0.0
249.0,317.0,40.0,140.0,0.0,32792.0,184634.0,198802.0,34531.0,0.0,131.0,582.0,4970.0,246.0,0.0
340.0,323.0,50.0,132.0,0.0,53302.0,190556.0,221431.0,38172.0,0.0,156.0,589.0,4428.0,289.0,0.0
67.0,374.0,35.0,149.0,0.0,9126.0,185586.0,147848.0,28355.0,0.0,136.0,496.0,4224.0,190.0,0.0
260.0,366.0,22.0,176.0,0.0,39681.0,278965.0,169325.0,73504.0,0.0,152.0,762.0,7696.0,417.0,0.0
315.0,340.0,23.0,155.0,0.0,44112.0,260866.0,177983.0,72318.0,0.0,140.0,767.0,7738.0,466.0,0.0
361.0,332.0,29.0,177.0,0.0,60796.0,260170.0,215947.0,76730.0,0.0,168.0,783.0,7446.0,433.0,0.0
274.0,340.0,25.0,176.0,0.0,45089.0,273513.0,199050.0,63181.0,0.0,164.0,804.0,7962.0,358.0,0.0
295.0,376.0,26.0,187.0,0.0,45882.0,282691.0,204646.0,60471.0,0.0,155.0,751.0,7871.0,323.0,0.0
343.0,341.0,34.0,163.0,0.0,50676.0,290675.0,235281.0,75253.0,0.0,147.0,852.0,6920.0,461.0,0.0
339.0,349.0,26.0,176.0,0.0,62916.0,292165.0,212305.0,77769.0,0.0,185.0,837.0,8165.0,441.0,0.0
328.0,366.0,29.0,146.0,0.0,49366.0,267112.0,245401.0,63065.0,0.0,150.0,729.0,8462.0,431.0,0.0
255.0,382.0,34.0,174.0,0.0,31669.0,252524.0,266043.0,72710.0,0.0,124.0,661.0,7824.0,417.0,0.0
347.0,344.0,35.0,148.0,0.0,48978.0,276227.0,256089.0,58040.0,0.0,141.0,802.0,7316.0,392.0,0.0
319.0,361.0,24.0,139.0,0.0,45393.0,301294.0,238669.0,47153.0,0.0,142.0,834.0,9944.0,339.0,0.0
314.0,383.0,26.0,165.0,0.0,39045.0,306918.0,234346.0,57390.0,0.0,124.0,801.0,9013.0,347.0,0.0
348.0,399.0,41.0,146.0,0.0,48553.0,279594.0,298423.0,60615.0,0.0,139.0,700.0,7278.0,415.0,0.0
315.0,395.0,34.0,163.0,0.0,39963.0,296300.0,256873.0,58043.0,0.0,126.0,750.0,7555.0,356.0,0.0
344.0,408.0,42.0,191.0,0.0,50817.0,279383.0,296340.0,63480.0,0.0,147.0,684.0,7055.0,332.0,0.0
273.0,419.0,34.0,209.0,0.0,38058.0,306866.0,268304.0,74466.0,0.0,139.0,732.0,7891.0,356.0,0.0
271.0,435.0,31.0,211.0,0.0,36043.0,317734.0,255556.0,62938.0,0.0,133.0,730.0,8243.0,298.0,0.0
290.0,452.0,31.0,194.0,0.0,41324.0,310799.0,253691.0,58922.0,0.0,142.0,687.0,8183.0,303.0,0.0
264.0,451.0,34.0,229.0,0.0,33532.0,287722.0,288478.0,59856.0,0.0,127.0,637.0,8484.0,261.0,0.0
296.0,464.0,40.0,222.0,0.0,42656.0,296318.0,313159.0,63134.0,0.0,144.0,638.0,7828.0,284.0,0.0
336.0,449.0,38.0,217.0,0.0,57977.0,315119.0,330305.0,78943.0,0.0,172.0,701.0,8692.0,363.0,0.0
329.0,478.0,31.0,215.0,0.0,54289.0,353976.0,353820.0,78369.0,0.0,165.0,740.0,11413.0,364.0,0.0
331.0,492.0,43.0,229.0,0.0,45029.0,337709.0,372476.0,74743.0,0.0,136.0,686.0,8662.0,326.0,0.0
