count_0,count_1,count_2,count_3,total_area_0,total_area_1,total_area_2,total_area_3,mean_area_0,mean_area_1,mean_area_2,mean_area_3
316.0,269.0,3.0,218.0,41317.0,255563.0,16697.0,74787.0,130.0,950.0,5565.0,343.0
432.0,307.0,27.0,207.0,49641.0,200454.0,99728.0,54392.0,114.0,652.0,3693.0,262.0
532.0,294.0,24.0,216.0,61774.0,218620.0,103405.0,63214.0,116.0,743.0,4308.0,292.0
476.0,315.0,23.0,233.0,63161.0,212786.0,91657.0,61658.0,132.0,675.0,3985.0,264.0
583.0,312.0,27.0,234.0,69501.0,214110.0,105316.0,69694.0,119.0,686.0,3900.0,297.0
386.0,304.0,29.0,244.0,41798.0,178839.0,115316.0,50057.0,108.0,588.0,3976.0,205.0
499.0,306.0,38.0,226.0,66133.0,178636.0,141420.0,68339.0,132.0,583.0,3721.0,302.0
488.0,341.0,33.0,233.0,56346.0,190434.0,129307.0,74857.0,115.0,558.0,3918.0,321.0
354.0,354.0,36.0,268.0,38935.0,179335.0,136723.0,64529.0,109.0,506.0,3797.0,240.0
531.0,351.0,37.0,242.0,76468.0,201301.0,152062.0,82097.0,144.0,573.0,4109.0,339.0
539.0,347.0,36.0,275.0,77257.0,193831.0,148557.0,94936.0,143.0,558.0,4126.0,345.0
480.0,337.0,42.0,261.0,62298.0,182382.0,173424.0,84286.0,129.0,541.0,4129.0,322.0
493.0,352.0,48.0,234.0,61744.0,202544.0,178860.0,80505.0,125.0,575.0,3726.0,344.0
538.0,353.0,48.0,258.0,69825.0,201496.0,195096.0,79171.0,129.0,570.0,4064.0,306.0
471.0,373.0,46.0,252.0,59742.0,201239.0,188790.0,68694.0,126.0,539.0,4104.0,272.0
546.0,368.0,55.0,232.0,76848.0,196648.0,250732.0,63269.0,140.0,534.0,4558.0,272.0
348.0,377.0,47.0,260.0,41115.0,198441.0,192012.0,61704.0,118.0,526.0,4085.0,237.0
250.0,396.0,12.0,338.0,30874.0,336340.0,70149.0,90443.0,123.0,849.0,5845.0,267.0
463.0,398.0,25.0,316.0,61002.0,304902.0,153913.0,97100.0,131.0,766.0,6156.0,307.0
562.0,391.0,26.0,306.0,83437.0,324817.0,168790.0,129890.0,148.0,830.0,6491.0,424.0
388.0,420.0,22.0,356.0,43756.0,322417.0,133794.0,97002.0,112.0,767.0,6081.0,272.0
465.0,408.0,23.0,346.0,58298.0,328681.0,164399.0,109141.0,125.0,805.0,7147.0,315.0
502.0,394.0,31.0,352.0,57644.0,294698.0,198214.0,145800.0,114.0,747.0,6394.0,414.0
437.0,419.0,29.0,365.0,59707.0,297280.0,193715.0,104719.0,136.0,709.0,6679.0,286.0
519.0,411.0,35.0,361.0,67478.0,313822.0,200034.0,112951.0,130.0,763.0,5715.0,312.0
