count_0,count_1,count_2,count_3,total_area_0,total_area_1,total_area_2,total_area_3,mean_area_0,mean_area_1,mean_area_2,mean_area_3
197.0,247.0,2.0,190.0,20553.0,238608.0,8932.0,63826.0,104.0,966.0,4466.0,335.0
173.0,313.0,10.0,169.0,18533.0,234839.0,29342.0,34465.0,107.0,750.0,2934.0,203.0
438.0,293.0,16.0,164.0,72970.0,240102.0,61550.0,41591.0,166.0,819.0,3846.0,253.0
353.0,300.0,27.0,167.0,52530.0,208683.0,92964.0,42421.0,148.0,695.0,3443.0,254.0
292.0,318.0,19.0,185.0,37417.0,231099.0,59986.0,49355.0,128.0,726.0,3157.0,266.0
248.0,286.0,31.0,191.0,26670.0,189329.0,107875.0,50201.0,107.0,661.0,3479.0,262.0
348.0,324.0,31.0,182.0,52689.0,221659.0,107450.0,44943.0,151.0,684.0,3466.0,246.0
269.0,313.0,39.0,187.0,36661.0,183842.0,135909.0,46733.0,136.0,587.0,3484.0,249.0
142.0,315.0,39.0,182.0,16544.0,169037.0,136328.0,32496.0,116.0,536.0,3495.0,178.0
214.0,341.0,38.0,173.0,26675.0,177597.0,134120.0,38691.0,124.0,520.0,3529.0,223.0
271.0,343.0,46.0,188.0,35407.0,166004.0,146104.0,43761.0,130.0,483.0,3176.0,232.0
205.0,356.0,50.0,147.0,27076.0,168706.0,155501.0,33414.0,132.0,473.0,3110.0,227.0
222.0,360.0,45.0,163.0,31036.0,177716.0,156149.0,44493.0,139.0,493.0,3469.0,272.0
160.0,341.0,46.0,144.0,20014.0,159837.0,159227.0,29768.0,125.0,468.0,3461.0,206.0
285.0,365.0,45.0,167.0,38269.0,189500.0,166479.0,41015.0,134.0,519.0,3699.0,245.0
412.0,365.0,57.0,166.0,64195.0,183341.0,240142.0,46939.0,155.0,502.0,4213.0,282.0
306.0,376.0,63.0,181.0,46043.0,193562.0,228477.0,34456.0,150.0,514.0,3626.0,190.0
151.0,431.0,17.0,233.0,20571.0,313827.0,95929.0,61216.0,136.0,728.0,5642.0,262.0
162.0,416.0,14.0,245.0,22532.0,329882.0,78461.0,62335.0,139.0,792.0,5604.0,254.0
209.0,445.0,21.0,216.0,28506.0,303985.0,120419.0,53646.0,136.0,683.0,5734.0,248.0
235.0,476.0,20.0,235.0,28082.0,337219.0,150254.0,50377.0,119.0,708.0,7512.0,214.0
165.0,464.0,23.0,221.0,21235.0,322138.0,152687.0,46344.0,128.0,694.0,6638.0,209.0
239.0,437.0,23.0,223.0,29964.0,330103.0,172623.0,50619.0,125.0,755.0,7505.0,226.0
315.0,452.0,28.0,227.0,44444.0,321300.0,181698.0,54215.0,141.0,710.0,6489.0,238.0
306.0,462.0,29.0,253.0,46757.0,315656.0,179517.0,68291.0,152.0,683.0,6190.0,269.0
272.0,487.0,23.0,266.0,32325.0,339014.0,153754.0,57495.0,118.0,696.0,6684.0,216.0
236.0,486.0,24.0,261.0,35060.0,344766.0,163368.0,60172.0,148.0,709.0,6807.0,230.0
176.0,453.0,27.0,251.0,20004.0,314977.0,173874.0,56403.0,113.0,695.0,6439.0,224.0
246.0,486.0,36.0,236.0,32318.0,315109.0,285064.0,58415.0,131.0,648.0,7918.0,247.0
260.0,484.0,34.0,249.0,30939.0,317752.0,219514.0,58077.0,118.0,656.0,6456.0,233.0
347.0,485.0,35.0,279.0,52321.0,322026.0,254384.0,74308.0,150.0,663.0,7268.0,266.0
210.0,545.0,34.0,274.0,23529.0,312241.0,228871.0,57648.0,112.0,572.0,6731.0,210.0
281.0,526.0,29.0,293.0,37612.0,361303.0,200233.0,67252.0,133.0,686.0,6904.0,229.0
285.0,529.0,41.0,287.0,36087.0,319094.0,253971.0,76200.0,126.0,603.0,6194.0,265.0
345.0,576.0,32.0,312.0,50531.0,357862.0,228330.0,81129.0,146.0,621.0,7135.0,260.0
410.0,575.0,39.0,322.0,52980.0,360780.0,267780.0,77119.0,129.0,627.0,6866.0,239.0
320.0,590.0,39.0,334.0,42372.0,344722.0,284889.0,89369.0,132.0,584.0,7304.0,267.0
365.0,585.0,39.0,302.0,48055.0,374459.0,278891.0,71542.0,131.0,640.0,7151.0,236.0
274.0,598.0,32.0,306.0,34363.0,411188.0,262835.0,75687.0,125.0,687.0,8213.0,247.0
302.0,594.0,45.0,308.0,35808.0,335416.0,322409.0,70101.0,118.0,564.0,7164.0,227.0
445.0,517.0,53.0,260.0,64332.0,308301.0,369973.0,94947.0,144.0,596.0,6980.0,365.0
225.0,649.0,34.0,316.0,27048.0,395070.0,270374.0,77982.0,120.0,608.0,7952.0,246.0
325.0,646.0,39.0,325.0,42991.0,366727.0,325749.0,98927.0,132.0,567.0,8352.0,304.0
291.0,652.0,37.0,301.0,33422.0,376775.0,313648.0,74368.0,114.0,577.0,8476.0,247.0
309.0,587.0,42.0,329.0,40598.0,351456.0,335813.0,82773.0,131.0,598.0,7995.0,251.0
405.0,627.0,45.0,329.0,61868.0,342000.0,357664.0,110070.0,152.0,545.0,7948.0,334.0
335.0,597.0,43.0,360.0,38445.0,355389.0,402856.0,95777.0,114.0,595.0,9368.0,266.0
371.0,621.0,41.0,313.0,46408.0,387325.0,384452.0,74707.0,125.0,623.0,9376.0,238.0
299.0,603.0,42.0,368.0,34192.0,376816.0,353134.0,96657.0,114.0,624.0,8407.0,262.0
283.0,691.0,41.0,374.0,31020.0,408778.0,342330.0,86793.0,109.0,591.0,8349.0,232.0
305.0,668.0,45.0,362.0,35325.0,383470.0,412677.0,95976.0,115.0,574.0,9170.0,265.0
325.0,644.0,45.0,353.0,36186.0,385881.0,393567.0,87722.0,111.0,599.0,8745.0,248.0
335.0,682.0,56.0,334.0,42329.0,362054.0,454788.0,84080.0,126.0,530.0,8121.0,251.0
289.0,681.0,47.0,362.0,31527.0,408297.0,420474.0,83822.0,109.0,599.0,8946.0,231.0
351.0,714.0,53.0,331.0,42481.0,395337.0,469881.0,102856.0,121.0,553.0,8865.0,310.0
407.0,727.0,48.0,313.0,51244.0,423036.0,475876.0,93444.0,125.0,581.0,9914.0,298.0
412.0,669.0,52.0,341.0,53538.0,394541.0,573332.0,106756.0,129.0,589.0,11025.0,313.0
70.0,808.0,40.0,317.0,7421.0,384244.0,366645.0,54983.0,106.0,475.0,9166.0,173.0
278.0,721.0,55.0,344.0,31681.0,385360.0,536078.0,73593.0,113.0,534.0,9746.0,213.0
327.0,729.0,50.0,339.0,37174.0,426779.0,506952.0,81642.0,113.0,585.0,10139.0,240.0
59.0,849.0,43.0,322.0,6060.0,407480.0,405855.0,55592.0,102.0,479.0,9438.0,172.0
392.0,706.0,59.0,319.0,55590.0,401593.0,619718.0,83621.0,141.0,568.0,10503.0,262.0
349.0,732.0,51.0,346.0,41761.0,415988.0,583315.0,88362.0,119.0,568.0,11437.0,255.0
402.0,733.0,57.0,334.0,59318.0,441804.0,618468.0,98787.0,147.0,602.0,10850.0,295.0
156.0,730.0,36.0,366.0,16232.0,396884.0,433903.0,63569.0,104.0,543.0,12052.0,173.0
118.0,763.0,31.0,328.0,11060.0,464545.0,358217.0,65568.0,93.0,608.0,11555.0,199.0
187.0,663.0,40.0,363.0,18893.0,419424.0,486844.0,89969.0,101.0,632.0,12171.0,247.0
192.0,757.0,38.0,419.0,19464.0,468279.0,445967.0,80616.0,101.0,618.0,11735.0,192.0
63.0,810.0,27.0,322.0,7812.0,420459.0,310082.0,45895.0,124.0,519.0,11484.0,142.0
