count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
201.0,261.0,7.0,195.0,0.0,35521.0,239046.0,37149.0,67117.0,0.0,176.0,915.0,5307.0,344.0,0.0
366.0,301.0,18.0,208.0,0.0,40838.0,235392.0,80687.0,66665.0,0.0,111.0,782.0,4482.0,320.0,0.0
281.0,313.0,15.0,197.0,0.0,33664.0,224608.0,64649.0,64564.0,0.0,119.0,717.0,4309.0,327.0,0.0
293.0,310.0,29.0,184.0,0.0,47020.0,208403.0,112038.0,57066.0,0.0,160.0,672.0,3863.0,310.0,0.0
331.0,328.0,31.0,168.0,0.0,39039.0,205829.0,120512.0,43853.0,0.0,117.0,627.0,3887.0,261.0,0.0
148.0,308.0,29.0,216.0,0.0,15713.0,206339.0,91013.0,39446.0,0.0,106.0,669.0,3138.0,182.0,0.0
257.0,314.0,41.0,188.0,0.0,30754.0,185500.0,138045.0,55965.0,0.0,119.0,590.0,3366.0,297.0,0.0
265.0,333.0,36.0,218.0,0.0,34453.0,192459.0,122796.0,44953.0,0.0,130.0,577.0,3411.0,206.0,0.0
159.0,341.0,38.0,187.0,0.0,17812.0,192235.0,121277.0,37734.0,0.0,112.0,563.0,3191.0,201.0,0.0
207.0,328.0,44.0,197.0,0.0,20335.0,173309.0,154441.0,41026.0,0.0,98.0,528.0,3510.0,208.0,0.0
295.0,333.0,46.0,208.0,0.0,35720.0,174374.0,186476.0,56936.0,0.0,121.0,523.0,4053.0,273.0,0.0
358.0,345.0,49.0,205.0,0.0,44361.0,206102.0,170449.0,62611.0,0.0,123.0,597.0,3478.0,305.0,0.0
384.0,344.0,52.0,202.0,0.0,48398.0,179245.0,229207.0,49969.0,0.0,126.0,521.0,4407.0,247.0,0.0
223.0,347.0,45.0,235.0,0.0,25801.0,192512.0,153354.0,47172.0,0.0,115.0,554.0,3407.0,200.0,0.0
293.0,380.0,50.0,173.0,0.0,37999.0,185190.0,213455.0,38889.0,0.0,129.0,487.0,4269.0,224.0,0.0
335.0,350.0,52.0,210.0,0.0,39468.0,196839.0,202675.0,56066.0,0.0,117.0,562.0,3897.0,266.0,0.0
358.0,377.0,52.0,215.0,0.0,42962.0,195443.0,218065.0,62955.0,0.0,120.0,518.0,4193.0,292.0,0.0
292.0,388.0,27.0,239.0,0.0,38777.0,291259.0,186515.0,78144.0,0.0,132.0,750.0,6907.0,326.0,0.0
317.0,386.0,23.0,250.0,0.0,38233.0,282575.0,156800.0,71024.0,0.0,120.0,732.0,6817.0,284.0,0.0
339.0,426.0,21.0,245.0,0.0,36160.0,298759.0,156669.0,70074.0,0.0,106.0,701.0,7460.0,286.0,0.0
290.0,412.0,24.0,281.0,0.0,32945.0,303575.0,151804.0,77984.0,0.0,113.0,736.0,6325.0,277.0,0.0
361.0,418.0,25.0,287.0,1.0,42491.0,303898.0,180608.0,88591.0,41169.0,117.0,727.0,7224.0,308.0,41169.0
306.0,460.0,22.0,286.0,0.0,41123.0,331842.0,141252.0,107333.0,0.0,134.0,721.0,6420.0,375.0,0.0
350.0,454.0,25.0,268.0,0.0,39623.0,329227.0,177844.0,78380.0,0.0,113.0,725.0,7113.0,292.0,0.0
336.0,432.0,26.0,251.0,0.0,42670.0,312494.0,175690.0,73300.0,0.0,126.0,723.0,6757.0,292.0,0.0
298.0,439.0,28.0,254.0,0.0,34269.0,295908.0,183659.0,67985.0,0.0,114.0,674.0,6559.0,267.0,0.0
385.0,426.0,27.0,256.0,0.0,49242.0,342606.0,179150.0,70833.0,0.0,127.0,804.0,6635.0,276.0,0.0
308.0,469.0,26.0,294.0,0.0,33551.0,349692.0,189903.0,79494.0,0.0,108.0,745.0,7303.0,270.0,0.0
235.0,485.0,33.0,275.0,0.0,24290.0,339844.0,207208.0,75045.0,0.0,103.0,700.0,6279.0,272.0,0.0
364.0,476.0,33.0,276.0,1.0,51756.0,321698.0,254033.0,87009.0,49700.0,142.0,675.0,7697.0,315.0,49700.0
312.0,449.0,32.0,284.0,0.0,35960.0,326742.0,229438.0,99478.0,0.0,115.0,727.0,7169.0,350.0,0.0
258.0,470.0,29.0,288.0,0.0,27776.0,363472.0,205434.0,93018.0,0.0,107.0,773.0,7083.0,322.0,0.0
311.0,473.0,33.0,295.0,0.0,39977.0,333362.0,242172.0,97809.0,0.0,128.0,704.0,7338.0,331.0,0.0
284.0,530.0,30.0,280.0,0.0,31173.0,374105.0,212681.0,81529.0,0.0,109.0,705.0,7089.0,291.0,0.0
301.0,508.0,34.0,306.0,0.0,36603.0,369846.0,265871.0,76601.0,0.0,121.0,728.0,7819.0,250.0,0.0
440.0,479.0,44.0,249.0,0.0,64302.0,334125.0,378580.0,71758.0,0.0,146.0,697.0,8604.0,288.0,0.0
292.0,500.0,37.0,320.0,0.0,35191.0,319486.0,306680.0,103353.0,0.0,120.0,638.0,8288.0,322.0,0.0
310.0,496.0,43.0,293.0,0.0,42629.0,339523.0,327661.0,80563.0,0.0,137.0,684.0,7620.0,274.0,0.0
158.0,551.0,30.0,337.0,0.0,17254.0,372408.0,234212.0,86503.0,0.0,109.0,675.0,7807.0,256.0,0.0
251.0,513.0,38.0,309.0,0.0,30132.0,311867.0,341575.0,83667.0,0.0,120.0,607.0,8988.0,270.0,0.0
258.0,513.0,41.0,331.0,0.0,29818.0,311369.0,336530.0,109762.0,0.0,115.0,606.0,8208.0,331.0,0.0
200.0,576.0,28.0,333.0,0.0,21376.0,362713.0,329404.0,90584.0,0.0,106.0,629.0,11764.0,272.0,0.0
339.0,515.0,37.0,298.0,0.0,42672.0,363483.0,355213.0,104487.0,0.0,125.0,705.0,9600.0,350.0,0.0
164.0,635.0,31.0,310.0,0.0,17364.0,395423.0,254680.0,77024.0,0.0,105.0,622.0,8215.0,248.0,0.0
420.0,481.0,47.0,285.0,1.0,54907.0,341371.0,453698.0,92668.0,63766.0,130.0,709.0,9653.0,325.0,63766.0
218.0,566.0,36.0,345.0,0.0,25514.0,381529.0,317857.0,88897.0,0.0,117.0,674.0,8829.0,257.0,0.0
349.0,545.0,42.0,289.0,0.0,46846.0,374279.0,413318.0,89064.0,0.0,134.0,686.0,9840.0,308.0,0.0
258.0,636.0,43.0,353.0,0.0,29298.0,380253.0,364590.0,103397.0,0.0,113.0,597.0,8478.0,292.0,0.0
266.0,606.0,43.0,323.0,0.0,29285.0,372012.0,406078.0,80573.0,0.0,110.0,613.0,9443.0,249.0,0.0
256.0,606.0,44.0,348.0,0.0,27613.0,373201.0,412741.0,85221.0,0.0,107.0,615.0,9380.0,244.0,0.0
112.0,643.0,33.0,334.0,0.0,10693.0,378255.0,340016.0,70487.0,0.0,95.0,588.0,10303.0,211.0,0.0
332.0,583.0,46.0,318.0,0.0,41883.0,360181.0,456477.0,91676.0,0.0,126.0,617.0,9923.0,288.0,0.0
209.0,651.0,41.0,342.0,0.0,22903.0,373752.0,424147.0,76081.0,0.0,109.0,574.0,10345.0,222.0,0.0
298.0,586.0,44.0,391.0,0.0,37147.0,356255.0,436525.0,114960.0,0.0,124.0,607.0,9921.0,294.0,0.0
187.0,671.0,45.0,376.0,0.0,20709.0,371874.0,406427.0,88217.0,0.0,110.0,554.0,9031.0,234.0,0.0
341.0,624.0,38.0,347.0,0.0,38366.0,409328.0,500694.0,101880.0,0.0,112.0,655.0,13176.0,293.0,0.0
214.0,684.0,42.0,349.0,0.0,26188.0,391535.0,467502.0,76595.0,0.0,122.0,572.0,11131.0,219.0,0.0
241.0,721.0,42.0,335.0,0.0,28823.0,425152.0,454772.0,94182.0,0.0,119.0,589.0,10827.0,281.0,0.0
201.0,630.0,40.0,393.0,0.0,22020.0,386605.0,444725.0,103835.0,0.0,109.0,613.0,11118.0,264.0,0.0
274.0,671.0,45.0,374.0,0.0,30605.0,385816.0,479862.0,112349.0,0.0,111.0,574.0,10663.0,300.0,0.0
223.0,721.0,43.0,376.0,0.0,24779.0,421333.0,439246.0,90579.0,0.0,111.0,584.0,10215.0,240.0,0.0
310.0,651.0,50.0,389.0,0.0,35642.0,395119.0,548524.0,108353.0,0.0,114.0,606.0,10970.0,278.0,0.0
80.0,807.0,42.0,344.0,0.0,7471.0,415254.0,399675.0,65223.0,0.0,93.0,514.0,9516.0,189.0,0.0
357.0,685.0,52.0,371.0,0.0,42388.0,445477.0,529604.0,93380.0,0.0,118.0,650.0,10184.0,251.0,0.0
343.0,706.0,30.0,452.0,1.0,36614.0,503011.0,484867.0,108106.0,99669.0,106.0,712.0,16162.0,239.0,99669.0
205.0,781.0,31.0,402.0,1.0,21440.0,453590.0,448419.0,77552.0,107319.0,104.0,580.0,14465.0,192.0,107319.0
165.0,795.0,27.0,453.0,0.0,16246.0,519093.0,391545.0,81735.0,0.0,98.0,652.0,14501.0,180.0,0.0
88.0,884.0,30.0,362.0,0.0,8327.0,477268.0,446218.0,64234.0,0.0,94.0,539.0,14873.0,177.0,0.0
102.0,804.0,28.0,401.0,1.0,9775.0,432673.0,362952.0,85020.0,78486.0,95.0,538.0,12962.0,212.0,78486.0
113.0,755.0,38.0,419.0,0.0,11263.0,421350.0,509695.0,78754.0,0.0,99.0,558.0,13413.0,187.0,0.0
120.0,740.0,32.0,388.0,1.0,11191.0,415176.0,439323.0,74112.0,126024.0,93.0,561.0,13728.0,191.0,126024.0
115.0,772.0,35.0,408.0,1.0,12085.0,389895.0,500468.0,82295.0,159756.0,105.0,505.0,14299.0,201.0,159756.0
79.0,860.0,23.0,364.0,1.0,8095.0,430817.0,345902.0,70216.0,100276.0,102.0,500.0,15039.0,192.0,100276.0
90.0,740.0,36.0,474.0,0.0,8608.0,385418.0,537828.0,99384.0,0.0,95.0,520.0,14939.0,209.0,0.0
123.0,766.0,31.0,397.0,1.0,14215.0,397528.0,462945.0,83883.0,104871.0,115.0,518.0,14933.0,211.0,104871.0
115.0,809.0,31.0,427.0,1.0,11605.0,423624.0,473163.0,81674.0,93643.0,100.0,523.0,15263.0,191.0,93643.0
112.0,866.0,35.0,407.0,1.0,10364.0,406140.0,479114.0,80028.0,76519.0,92.0,468.0,13688.0,196.0,76519.0
73.0,840.0,33.0,418.0,0.0,8154.0,397167.0,456294.0,86353.0,0.0,111.0,472.0,13827.0,206.0,0.0
58.0,893.0,37.0,379.0,1.0,5002.0,387486.0,483937.0,63074.0,96811.0,86.0,433.0,13079.0,166.0,96811.0
88.0,837.0,33.0,398.0,1.0,12612.0,391759.0,442883.0,79358.0,105132.0,143.0,468.0,13420.0,199.0,105132.0
65.0,818.0,32.0,455.0,2.0,7145.0,392348.0,436581.0,83560.0,168491.0,109.0,479.0,13643.0,183.0,84245.0
103.0,784.0,33.0,397.0,2.0,9725.0,362866.0,479153.0,74821.0,211138.0,94.0,462.0,14519.0,188.0,105569.0
76.0,822.0,29.0,484.0,1.0,7008.0,403903.0,426624.0,89396.0,70409.0,92.0,491.0,14711.0,184.0,70409.0
55.0,825.0,37.0,415.0,1.0,5963.0,347103.0,510897.0,74875.0,133287.0,108.0,420.0,13808.0,180.0,133287.0
75.0,884.0,31.0,395.0,1.0,10428.0,422647.0,429764.0,75645.0,85733.0,139.0,478.0,13863.0,191.0,85733.0
68.0,870.0,35.0,366.0,1.0,6614.0,394069.0,502883.0,61939.0,124474.0,97.0,452.0,14368.0,169.0,124474.0
119.0,873.0,28.0,364.0,0.0,15350.0,401108.0,477693.0,75260.0,0.0,128.0,459.0,17060.0,206.0,0.0
86.0,865.0,36.0,387.0,1.0,8474.0,407386.0,540980.0,68407.0,135180.0,98.0,470.0,15027.0,176.0,135180.0
100.0,847.0,28.0,384.0,1.0,11078.0,386909.0,465904.0,73575.0,110679.0,110.0,456.0,16639.0,191.0,110679.0
81.0,846.0,30.0,458.0,0.0,9391.0,399894.0,587814.0,92360.0,0.0,115.0,472.0,19593.0,201.0,0.0
83.0,894.0,30.0,388.0,1.0,8869.0,379037.0,502754.0,71764.0,99184.0,106.0,423.0,16758.0,184.0,99184.0
74.0,879.0,34.0,429.0,1.0,9346.0,367323.0,541506.0,82724.0,84561.0,126.0,417.0,15926.0,192.0,84561.0
