count_0,count_1,count_2,count_3,total_area_0,total_area_1,total_area_2,total_area_3,mean_area_0,mean_area_1,mean_area_2,mean_area_3
321.0,250.0,8.0,163.0,57914.0,190133.0,61707.0,43929.0,180.0,760.0,7713.0,269.0
323.0,257.0,14.0,155.0,40980.0,171193.0,53153.0,48429.0,126.0,666.0,3796.0,312.0
671.0,224.0,28.0,179.0,95248.0,154255.0,102906.0,72130.0,141.0,688.0,3675.0,402.0
484.0,242.0,22.0,164.0,63103.0,163676.0,74773.0,53465.0,130.0,676.0,3398.0,326.0
337.0,289.0,22.0,178.0,37797.0,152083.0,80116.0,44336.0,112.0,526.0,3641.0,249.0
210.0,291.0,19.0,198.0,20157.0,152236.0,68838.0,34275.0,95.0,523.0,3623.0,173.0
422.0,260.0,25.0,215.0,49223.0,142605.0,98296.0,43962.0,116.0,548.0,3931.0,204.0
365.0,280.0,21.0,199.0,39726.0,160342.0,76276.0,41508.0,108.0,572.0,3632.0,208.0
482.0,285.0,30.0,177.0,57899.0,160165.0,121357.0,42944.0,120.0,561.0,4045.0,242.0
393.0,292.0,33.0,196.0,43885.0,149594.0,104019.0,45771.0,111.0,512.0,3152.0,233.0
422.0,293.0,32.0,198.0,57701.0,166951.0,116912.0,49641.0,136.0,569.0,3653.0,250.0
413.0,300.0,37.0,199.0,52514.0,160704.0,131908.0,56831.0,127.0,535.0,3565.0,285.0
480.0,294.0,36.0,197.0,75420.0,159109.0,146388.0,53832.0,157.0,541.0,4066.0,273.0
383.0,311.0,37.0,167.0,52138.0,161328.0,137746.0,38850.0,136.0,518.0,3722.0,232.0
465.0,296.0,43.0,177.0,71399.0,155230.0,168756.0,57361.0,153.0,524.0,3924.0,324.0
232.0,329.0,34.0,169.0,31118.0,166399.0,124064.0,39685.0,134.0,505.0,3648.0,234.0
348.0,313.0,41.0,183.0,52118.0,170891.0,149946.0,59503.0,149.0,545.0,3657.0,325.0
294.0,354.0,17.0,258.0,34520.0,250265.0,83682.0,73296.0,117.0,706.0,4922.0,284.0
459.0,362.0,16.0,241.0,69722.0,278830.0,120610.0,95948.0,151.0,770.0,7538.0,398.0
421.0,307.0,19.0,224.0,60904.0,257538.0,132425.0,91677.0,144.0,838.0,6969.0,409.0
355.0,373.0,13.0,205.0,57714.0,293969.0,85160.0,91397.0,162.0,788.0,6550.0,445.0
267.0,378.0,17.0,252.0,36157.0,270949.0,101666.0,72287.0,135.0,716.0,5980.0,286.0
464.0,311.0,25.0,233.0,92470.0,239611.0,166486.0,106903.0,199.0,770.0,6659.0,458.0
274.0,355.0,18.0,244.0,32960.0,251017.0,104666.0,84716.0,120.0,707.0,5814.0,347.0
324.0,341.0,24.0,241.0,45758.0,253313.0,151595.0,105423.0,141.0,742.0,6316.0,437.0
269.0,392.0,13.0,257.0,35197.0,304532.0,95619.0,78067.0,130.0,776.0,7355.0,303.0
391.0,346.0,26.0,227.0,61388.0,280137.0,164472.0,110380.0,157.0,809.0,6325.0,486.0
355.0,384.0,21.0,228.0,46108.0,295836.0,147888.0,83123.0,129.0,770.0,7042.0,364.0
334.0,386.0,19.0,236.0,45569.0,303928.0,135017.0,84585.0,136.0,787.0,7106.0,358.0
399.0,354.0,25.0,217.0,67850.0,289064.0,176929.0,94310.0,170.0,816.0,7077.0,434.0
412.0,366.0,27.0,265.0,59403.0,303309.0,172040.0,109246.0,144.0,828.0,6371.0,412.0
436.0,394.0,27.0,239.0,65501.0,289334.0,185751.0,100375.0,150.0,734.0,6879.0,419.0
360.0,411.0,27.0,247.0,49501.0,310609.0,188660.0,98787.0,137.0,755.0,6987.0,399.0
457.0,409.0,20.0,257.0,69723.0,340929.0,159290.0,107216.0,152.0,833.0,7964.0,417.0
438.0,429.0,23.0,261.0,70882.0,353152.0,151856.0,87694.0,161.0,823.0,6602.0,335.0
509.0,420.0,25.0,256.0,82980.0,348900.0,170368.0,124788.0,163.0,830.0,6814.0,487.0
453.0,441.0,33.0,247.0,69298.0,309248.0,236385.0,91518.0,152.0,701.0,7163.0,370.0
