count_0,count_1,count_2,count_3,total_area_0,total_area_1,total_area_2,total_area_3,mean_area_0,mean_area_1,mean_area_2,mean_area_3
220.0,352.0,9.0,205.0,34718.0,222987.0,47166.0,44962.0,157.0,633.0,5240.0,219.0
527.0,356.0,25.0,161.0,80040.0,198877.0,140275.0,56867.0,151.0,558.0,5611.0,353.0
519.0,361.0,29.0,199.0,79843.0,185888.0,146746.0,54264.0,153.0,514.0,5060.0,272.0
554.0,337.0,38.0,188.0,87676.0,168966.0,175752.0,59379.0,158.0,501.0,4625.0,315.0
472.0,353.0,31.0,174.0,65621.0,181965.0,145538.0,53137.0,139.0,515.0,4694.0,305.0
572.0,337.0,40.0,182.0,94775.0,154743.0,182384.0,69216.0,165.0,459.0,4559.0,380.0
479.0,351.0,40.0,192.0,75591.0,170258.0,177638.0,64116.0,157.0,485.0,4440.0,333.0
512.0,365.0,38.0,190.0,80585.0,183589.0,170441.0,64524.0,157.0,502.0,4485.0,339.0
539.0,377.0,45.0,181.0,88726.0,158149.0,206024.0,58810.0,164.0,419.0,4578.0,324.0
520.0,349.0,41.0,186.0,81018.0,172018.0,193695.0,56380.0,155.0,492.0,4724.0,303.0
574.0,404.0,38.0,208.0,79412.0,192314.0,193825.0,50464.0,138.0,476.0,5100.0,242.0
621.0,399.0,43.0,200.0,99989.0,184404.0,208594.0,60597.0,161.0,462.0,4851.0,302.0
605.0,391.0,39.0,203.0,108641.0,194252.0,206375.0,58568.0,179.0,496.0,5291.0,288.0
567.0,415.0,39.0,214.0,95371.0,191335.0,196873.0,75220.0,168.0,461.0,5048.0,351.0
563.0,419.0,37.0,206.0,92005.0,202762.0,196306.0,69268.0,163.0,483.0,5305.0,336.0
549.0,434.0,43.0,230.0,72450.0,201624.0,196708.0,56470.0,131.0,464.0,4574.0,245.0
565.0,470.0,37.0,222.0,81521.0,207763.0,198837.0,87466.0,144.0,442.0,5373.0,393.0
647.0,458.0,42.0,237.0,100717.0,212322.0,217617.0,97721.0,155.0,463.0,5181.0,412.0
663.0,466.0,50.0,227.0,99698.0,192686.0,254494.0,90043.0,150.0,413.0,5089.0,396.0
650.0,434.0,46.0,236.0,101191.0,204055.0,233208.0,81567.0,155.0,470.0,5069.0,345.0
575.0,457.0,46.0,240.0,83678.0,194484.0,245317.0,66465.0,145.0,425.0,5332.0,276.0
641.0,469.0,49.0,252.0,87978.0,201077.0,260508.0,77582.0,137.0,428.0,5316.0,307.0
639.0,476.0,46.0,256.0,87712.0,209882.0,250619.0,70090.0,137.0,440.0,5448.0,273.0
684.0,471.0,56.0,271.0,110728.0,195606.0,274200.0,88493.0,161.0,415.0,4896.0,326.0
826.0,462.0,54.0,280.0,132990.0,233256.0,301952.0,109859.0,161.0,504.0,5591.0,392.0
658.0,504.0,51.0,264.0,97346.0,242054.0,263236.0,79421.0,147.0,480.0,5161.0,300.0
673.0,546.0,60.0,271.0,96674.0,235183.0,288709.0,103837.0,143.0,430.0,4811.0,383.0
740.0,510.0,57.0,306.0,115502.0,211157.0,308946.0,97482.0,156.0,414.0,5420.0,318.0
795.0,516.0,59.0,294.0,134175.0,230803.0,326082.0,102494.0,168.0,447.0,5526.0,348.0
686.0,555.0,57.0,261.0,100477.0,259820.0,289951.0,82538.0,146.0,468.0,5086.0,316.0
685.0,550.0,56.0,307.0,97852.0,254923.0,321964.0,85768.0,142.0,463.0,5749.0,279.0
657.0,543.0,56.0,277.0,106238.0,243945.0,313803.0,89842.0,161.0,449.0,5603.0,324.0
680.0,531.0,59.0,274.0,103867.0,250492.0,329466.0,91481.0,152.0,471.0,5584.0,333.0
655.0,530.0,57.0,295.0,105969.0,254107.0,338190.0,82868.0,161.0,479.0,5933.0,280.0
629.0,537.0,59.0,263.0,90323.0,256289.0,320846.0,81676.0,143.0,477.0,5438.0,310.0
620.0,535.0,59.0,278.0,93742.0,238114.0,349548.0,99495.0,151.0,445.0,5924.0,357.0
580.0,562.0,61.0,282.0,86718.0,245540.0,331088.0,78792.0,149.0,436.0,5427.0,279.0
675.0,569.0,65.0,244.0,114623.0,240695.0,390220.0,86755.0,169.0,423.0,6003.0,355.0
659.0,586.0,52.0,304.0,108660.0,260300.0,363529.0,114951.0,164.0,444.0,6990.0,378.0
91.0,751.0,21.0,365.0,8925.0,299648.0,203506.0,59862.0,98.0,398.0,9690.0,164.0
499.0,623.0,49.0,300.0,60313.0,283819.0,287475.0,59050.0,120.0,455.0,5866.0,196.0
485.0,622.0,47.0,283.0,59507.0,283306.0,305317.0,61698.0,122.0,455.0,6496.0,218.0
538.0,578.0,44.0,273.0,71191.0,278198.0,299590.0,85910.0,132.0,481.0,6808.0,314.0
589.0,529.0,59.0,258.0,87687.0,270738.0,343539.0,92127.0,148.0,511.0,5822.0,357.0
565.0,546.0,50.0,278.0,86039.0,267649.0,328717.0,86551.0,152.0,490.0,6574.0,311.0
533.0,544.0,53.0,251.0,75037.0,270011.0,330769.0,62364.0,140.0,496.0,6240.0,248.0
557.0,506.0,54.0,262.0,75668.0,243533.0,336675.0,81361.0,135.0,481.0,6234.0,310.0
514.0,531.0,46.0,256.0,72864.0,265289.0,314738.0,88071.0,141.0,499.0,6842.0,344.0
666.0,511.0,49.0,221.0,111557.0,290848.0,392838.0,89493.0,167.0,569.0,8017.0,404.0
634.0,495.0,46.0,240.0,112140.0,260445.0,377379.0,81695.0,176.0,526.0,8203.0,340.0
463.0,533.0,43.0,261.0,66987.0,245845.0,327067.0,66811.0,144.0,461.0,7606.0,255.0
566.0,554.0,40.0,263.0,87396.0,264887.0,314283.0,84576.0,154.0,478.0,7857.0,321.0
477.0,495.0,42.0,273.0,65905.0,250734.0,341620.0,91626.0,138.0,506.0,8133.0,335.0
487.0,517.0,45.0,277.0,71176.0,241010.0,352913.0,91809.0,146.0,466.0,7842.0,331.0
491.0,528.0,45.0,290.0,71712.0,266035.0,364891.0,97394.0,146.0,503.0,8108.0,335.0
521.0,530.0,45.0,274.0,75515.0,265767.0,381854.0,103419.0,144.0,501.0,8485.0,377.0
555.0,472.0,55.0,285.0,79243.0,245960.0,400070.0,105724.0,142.0,521.0,7274.0,370.0
508.0,489.0,39.0,279.0,76492.0,256176.0,377958.0,87831.0,150.0,523.0,9691.0,314.0
532.0,507.0,49.0,276.0,78050.0,250034.0,391620.0,91391.0,146.0,493.0,7992.0,331.0
535.0,454.0,49.0,246.0,80225.0,249012.0,409400.0,84342.0,149.0,548.0,8355.0,342.0
524.0,502.0,51.0,257.0,88190.0,258182.0,422920.0,98576.0,168.0,514.0,8292.0,383.0
461.0,488.0,43.0,292.0,71098.0,294393.0,375215.0,86906.0,154.0,603.0,8725.0,297.0
482.0,495.0,46.0,275.0,71525.0,263067.0,401425.0,110344.0,148.0,531.0,8726.0,401.0
643.0,431.0,56.0,250.0,105493.0,256130.0,464223.0,117682.0,164.0,594.0,8289.0,470.0
499.0,478.0,47.0,294.0,68902.0,268350.0,419805.0,106507.0,138.0,561.0,8932.0,362.0
431.0,501.0,43.0,288.0,62143.0,251355.0,405166.0,92000.0,144.0,501.0,9422.0,319.0
506.0,472.0,50.0,289.0,73393.0,251282.0,424521.0,106404.0,145.0,532.0,8490.0,368.0
581.0,482.0,49.0,274.0,98705.0,266047.0,464392.0,106535.0,169.0,551.0,9477.0,388.0
513.0,507.0,51.0,275.0,77569.0,253671.0,453643.0,100140.0,151.0,500.0,8894.0,364.0
670.0,424.0,50.0,263.0,128023.0,277661.0,476357.0,114809.0,191.0,654.0,9527.0,436.0
