count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
273.0,403.0,18.0,177.0,0.0,35219.0,239325.0,129590.0,58073.0,0.0,129.0,593.0,7199.0,328.0,0.0
290.0,385.0,17.0,176.0,0.0,49654.0,226767.0,89149.0,59263.0,0.0,171.0,589.0,5244.0,336.0,0.0
182.0,394.0,22.0,193.0,0.0,23729.0,196463.0,113887.0,45724.0,0.0,130.0,498.0,5176.0,236.0,0.0
244.0,386.0,26.0,178.0,0.0,32838.0,202336.0,132998.0,55810.0,0.0,134.0,524.0,5115.0,313.0,0.0
234.0,404.0,30.0,185.0,0.0,35439.0,188468.0,160879.0,59860.0,0.0,151.0,466.0,5362.0,323.0,0.0
196.0,390.0,31.0,193.0,0.0,23121.0,194419.0,165236.0,41719.0,0.0,117.0,498.0,5330.0,216.0,0.0
162.0,426.0,28.0,202.0,0.0,19354.0,199671.0,139221.0,42294.0,0.0,119.0,468.0,4972.0,209.0,0.0
332.0,390.0,38.0,160.0,0.0,49851.0,190885.0,233397.0,64359.0,0.0,150.0,489.0,6142.0,402.0,0.0
183.0,395.0,38.0,187.0,0.0,22757.0,170846.0,180374.0,49208.0,0.0,124.0,432.0,4746.0,263.0,0.0
355.0,404.0,30.0,163.0,0.0,55787.0,199907.0,264538.0,72260.0,0.0,157.0,494.0,8817.0,443.0,0.0
227.0,406.0,34.0,186.0,0.0,32357.0,191413.0,190402.0,53318.0,0.0,142.0,471.0,5600.0,286.0,0.0
116.0,437.0,36.0,165.0,0.0,13122.0,176261.0,179673.0,31544.0,0.0,113.0,403.0,4990.0,191.0,0.0
196.0,425.0,36.0,172.0,0.0,28530.0,190100.0,185363.0,48930.0,0.0,145.0,447.0,5148.0,284.0,0.0
312.0,411.0,35.0,196.0,0.0,45519.0,200672.0,222456.0,61170.0,0.0,145.0,488.0,6355.0,312.0,0.0
318.0,431.0,37.0,170.0,1.0,46918.0,202703.0,230473.0,49348.0,65742.0,147.0,470.0,6229.0,290.0,65742.0
249.0,440.0,33.0,192.0,0.0,32237.0,206662.0,234379.0,49496.0,0.0,129.0,469.0,7102.0,257.0,0.0
347.0,447.0,36.0,178.0,0.0,49564.0,229332.0,273241.0,59248.0,0.0,142.0,513.0,7590.0,332.0,0.0
301.0,417.0,34.0,176.0,0.0,42048.0,203255.0,254641.0,52460.0,0.0,139.0,487.0,7489.0,298.0,0.0
312.0,435.0,33.0,186.0,0.0,46055.0,224991.0,249816.0,74916.0,0.0,147.0,517.0,7570.0,402.0,0.0
363.0,395.0,34.0,182.0,0.0,60879.0,210230.0,245294.0,65658.0,0.0,167.0,532.0,7214.0,360.0,0.0
327.0,390.0,37.0,191.0,0.0,49544.0,195296.0,262189.0,80654.0,0.0,151.0,500.0,7086.0,422.0,0.0
194.0,408.0,32.0,225.0,0.0,21978.0,209185.0,220531.0,43960.0,0.0,113.0,512.0,6891.0,195.0,0.0
250.0,441.0,37.0,211.0,0.0,44052.0,205921.0,254750.0,60540.0,0.0,176.0,466.0,6885.0,286.0,0.0
