count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
180.0,382.0,15.0,212.0,0.0,27580.0,227135.0,84134.0,49044.0,0.0,153.0,594.0,5608.0,231.0,0.0
338.0,410.0,27.0,215.0,0.0,52672.0,201533.0,124081.0,55133.0,0.0,155.0,491.0,4595.0,256.0,0.0
480.0,424.0,33.0,199.0,0.0,73778.0,204062.0,179482.0,66268.0,0.0,153.0,481.0,5438.0,333.0,0.0
247.0,458.0,32.0,201.0,0.0,26735.0,203025.0,148351.0,45742.0,0.0,108.0,443.0,4635.0,227.0,0.0
323.0,469.0,33.0,210.0,0.0,40303.0,205397.0,167970.0,58904.0,0.0,124.0,437.0,5090.0,280.0,0.0
255.0,479.0,32.0,231.0,0.0,30771.0,182842.0,157816.0,62759.0,0.0,120.0,381.0,4931.0,271.0,0.0
141.0,498.0,27.0,217.0,0.0,15169.0,200727.0,147002.0,43494.0,0.0,107.0,403.0,5444.0,200.0,0.0
163.0,482.0,39.0,226.0,0.0,20541.0,192346.0,165181.0,57709.0,0.0,126.0,399.0,4235.0,255.0,0.0
156.0,502.0,31.0,201.0,0.0,17984.0,205349.0,145629.0,44422.0,0.0,115.0,409.0,4697.0,221.0,0.0
206.0,500.0,34.0,237.0,0.0,32671.0,201324.0,162280.0,50223.0,0.0,158.0,402.0,4772.0,211.0,0.0
201.0,537.0,38.0,197.0,0.0,26920.0,202816.0,193663.0,43499.0,0.0,133.0,377.0,5096.0,220.0,0.0
150.0,497.0,37.0,252.0,0.0,22915.0,201846.0,191048.0,45176.0,0.0,152.0,406.0,5163.0,179.0,0.0
204.0,522.0,43.0,253.0,0.0,27771.0,188449.0,229066.0,39768.0,0.0,136.0,361.0,5327.0,157.0,0.0
128.0,524.0,41.0,241.0,0.0,14841.0,198005.0,207973.0,48457.0,0.0,115.0,377.0,5072.0,201.0,0.0
252.0,552.0,43.0,231.0,0.0,32667.0,209224.0,236805.0,49524.0,0.0,129.0,379.0,5507.0,214.0,0.0
234.0,562.0,42.0,251.0,0.0,33494.0,213829.0,219905.0,47118.0,0.0,143.0,380.0,5235.0,187.0,0.0
170.0,577.0,41.0,233.0,0.0,18912.0,223188.0,241859.0,53630.0,0.0,111.0,386.0,5899.0,230.0,0.0
218.0,554.0,49.0,228.0,0.0,34784.0,217585.0,271452.0,51236.0,0.0,159.0,392.0,5539.0,224.0,0.0
228.0,561.0,46.0,223.0,0.0,31611.0,201687.0,285249.0,56963.0,0.0,138.0,359.0,6201.0,255.0,0.0
244.0,543.0,49.0,222.0,0.0,38992.0,203577.0,299487.0,58227.0,0.0,159.0,374.0,6111.0,262.0,0.0
175.0,573.0,46.0,234.0,0.0,21392.0,216517.0,295141.0,48010.0,0.0,122.0,377.0,6416.0,205.0,0.0
89.0,558.0,42.0,243.0,0.0,9404.0,203241.0,254939.0,39176.0,0.0,105.0,364.0,6069.0,161.0,0.0
192.0,587.0,42.0,244.0,0.0,22881.0,227978.0,294492.0,49745.0,0.0,119.0,388.0,7011.0,203.0,0.0
60.0,621.0,38.0,221.0,0.0,7280.0,226074.0,261616.0,30483.0,0.0,121.0,364.0,6884.0,137.0,0.0
55.0,658.0,36.0,186.0,0.0,6266.0,226082.0,213131.0,25716.0,0.0,113.0,343.0,5920.0,138.0,0.0
46.0,644.0,31.0,220.0,0.0,5472.0,225913.0,198395.0,35643.0,0.0,118.0,350.0,6399.0,162.0,0.0
241.0,579.0,62.0,230.0,0.0,33736.0,220650.0,376267.0,56037.0,0.0,139.0,381.0,6068.0,243.0,0.0
152.0,614.0,60.0,238.0,0.0,19273.0,220160.0,372395.0,45310.0,0.0,126.0,358.0,6206.0,190.0,0.0
46.0,656.0,36.0,221.0,0.0,4973.0,220177.0,204481.0,35574.0,0.0,108.0,335.0,5680.0,160.0,0.0
77.0,658.0,53.0,219.0,0.0,8234.0,223767.0,316289.0,34464.0,0.0,106.0,340.0,5967.0,157.0,0.0
52.0,688.0,38.0,173.0,0.0,6805.0,229064.0,259384.0,25852.0,0.0,130.0,332.0,6825.0,149.0,0.0
41.0,731.0,38.0,209.0,0.0,4939.0,249182.0,222756.0,33631.0,0.0,120.0,340.0,5862.0,160.0,0.0
31.0,696.0,30.0,255.0,0.0,3090.0,249149.0,196741.0,38714.0,0.0,99.0,357.0,6558.0,151.0,0.0
266.0,644.0,58.0,213.0,0.0,35137.0,239845.0,477719.0,52780.0,0.0,132.0,372.0,8236.0,247.0,0.0
297.0,593.0,63.0,202.0,0.0,44539.0,231032.0,530407.0,55332.0,0.0,149.0,389.0,8419.0,273.0,0.0
49.0,725.0,40.0,214.0,0.0,6797.0,251549.0,281483.0,32065.0,0.0,138.0,346.0,7037.0,149.0,0.0
281.0,578.0,66.0,234.0,0.0,42364.0,209806.0,530862.0,61788.0,0.0,150.0,362.0,8043.0,264.0,0.0
252.0,639.0,62.0,211.0,0.0,35503.0,220380.0,535569.0,43782.0,0.0,140.0,344.0,8638.0,207.0,0.0
57.0,679.0,31.0,261.0,0.0,6101.0,315200.0,365188.0,40260.0,0.0,107.0,464.0,11780.0,154.0,0.0
141.0,625.0,34.0,236.0,0.0,16875.0,270663.0,458348.0,30943.0,0.0,119.0,433.0,13480.0,131.0,0.0
320.0,520.0,44.0,228.0,1.0,45493.0,250937.0,512319.0,43447.0,37589.0,142.0,482.0,11643.0,190.0,37589.0
259.0,569.0,38.0,255.0,0.0,31834.0,304070.0,482651.0,37277.0,0.0,122.0,534.0,12701.0,146.0,0.0
327.0,537.0,40.0,229.0,1.0,55968.0,283830.0,443474.0,45267.0,128860.0,171.0,528.0,11086.0,197.0,128860.0
171.0,559.0,45.0,296.0,0.0,20613.0,268453.0,494382.0,54996.0,0.0,120.0,480.0,10986.0,185.0,0.0
253.0,549.0,41.0,264.0,0.0,32898.0,272518.0,513492.0,53384.0,0.0,130.0,496.0,12524.0,202.0,0.0
162.0,542.0,40.0,282.0,0.0,17176.0,251685.0,476736.0,51698.0,0.0,106.0,464.0,11918.0,183.0,0.0
137.0,536.0,40.0,283.0,0.0,14466.0,236368.0,477444.0,45665.0,0.0,105.0,440.0,11936.0,161.0,0.0
274.0,467.0,38.0,218.0,2.0,35467.0,248753.0,454767.0,40716.0,163039.0,129.0,532.0,11967.0,186.0,81519.0
