count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
249.0,370.0,10.0,270.0,0.0,34135.0,241225.0,63922.0,58463.0,0.0,137.0,651.0,6392.0,216.0,0.0
517.0,404.0,44.0,212.0,0.0,71964.0,180981.0,184759.0,53836.0,0.0,139.0,447.0,4199.0,253.0,0.0
448.0,445.0,39.0,220.0,0.0,61445.0,192337.0,166277.0,46372.0,0.0,137.0,432.0,4263.0,210.0,0.0
375.0,437.0,45.0,221.0,0.0,55675.0,158484.0,191843.0,52414.0,0.0,148.0,362.0,4263.0,237.0,0.0
495.0,437.0,52.0,215.0,0.0,70452.0,174484.0,214265.0,54290.0,0.0,142.0,399.0,4120.0,252.0,0.0
381.0,420.0,42.0,231.0,0.0,49915.0,172084.0,189671.0,52157.0,0.0,131.0,409.0,4515.0,225.0,0.0
289.0,464.0,46.0,203.0,0.0,34486.0,172014.0,197729.0,39981.0,0.0,119.0,370.0,4298.0,196.0,0.0
423.0,452.0,52.0,220.0,0.0,61790.0,166767.0,224422.0,55675.0,0.0,146.0,368.0,4315.0,253.0,0.0
461.0,444.0,54.0,205.0,0.0,67655.0,173303.0,217812.0,70018.0,0.0,146.0,390.0,4033.0,341.0,0.0
480.0,410.0,61.0,232.0,0.0,76579.0,159413.0,253849.0,57393.0,0.0,159.0,388.0,4161.0,247.0,0.0
418.0,473.0,60.0,231.0,0.0,59847.0,166774.0,240402.0,59500.0,0.0,143.0,352.0,4006.0,257.0,0.0
551.0,449.0,66.0,237.0,0.0,81910.0,167737.0,282282.0,82533.0,0.0,148.0,373.0,4277.0,348.0,0.0
466.0,444.0,54.0,222.0,0.0,62333.0,175688.0,247382.0,58601.0,0.0,133.0,395.0,4581.0,263.0,0.0
384.0,439.0,55.0,237.0,0.0,50011.0,168146.0,243400.0,59739.0,0.0,130.0,383.0,4425.0,252.0,0.0
456.0,480.0,58.0,251.0,0.0,60565.0,166785.0,268508.0,75511.0,0.0,132.0,347.0,4629.0,300.0,0.0
296.0,455.0,53.0,256.0,0.0,41678.0,174632.0,249596.0,51459.0,0.0,140.0,383.0,4709.0,201.0,0.0
486.0,455.0,60.0,252.0,0.0,62899.0,174757.0,289002.0,65087.0,0.0,129.0,384.0,4816.0,258.0,0.0
290.0,489.0,57.0,259.0,0.0,34114.0,171617.0,256681.0,44175.0,0.0,117.0,350.0,4503.0,170.0,0.0
613.0,446.0,62.0,253.0,0.0,99686.0,188289.0,317012.0,72251.0,0.0,162.0,422.0,5113.0,285.0,0.0
503.0,493.0,55.0,257.0,0.0,74626.0,202597.0,296139.0,72639.0,0.0,148.0,410.0,5384.0,282.0,0.0
442.0,496.0,55.0,281.0,0.0,64306.0,188411.0,290190.0,69467.0,0.0,145.0,379.0,5276.0,247.0,0.0
551.0,451.0,67.0,240.0,0.0,88792.0,165623.0,333720.0,62954.0,0.0,161.0,367.0,4980.0,262.0,0.0
592.0,451.0,62.0,278.0,0.0,105829.0,179933.0,338346.0,86459.0,0.0,178.0,398.0,5457.0,311.0,0.0
632.0,454.0,64.0,256.0,0.0,95654.0,181608.0,341861.0,87871.0,0.0,151.0,400.0,5341.0,343.0,0.0
562.0,484.0,56.0,261.0,0.0,84009.0,199257.0,351258.0,71668.0,0.0,149.0,411.0,6272.0,274.0,0.0
606.0,479.0,62.0,253.0,0.0,91621.0,201284.0,336627.0,77890.0,0.0,151.0,420.0,5429.0,307.0,0.0
568.0,476.0,67.0,274.0,0.0,85156.0,188591.0,366074.0,86441.0,0.0,149.0,396.0,5463.0,315.0,0.0
511.0,517.0,67.0,265.0,0.0,68753.0,200388.0,363336.0,66082.0,0.0,134.0,387.0,5422.0,249.0,0.0
515.0,529.0,68.0,297.0,0.0,74762.0,193393.0,373583.0,79551.0,0.0,145.0,365.0,5493.0,267.0,0.0
574.0,514.0,71.0,269.0,0.0,86529.0,200673.0,392908.0,88571.0,0.0,150.0,390.0,5533.0,329.0,0.0
641.0,518.0,79.0,265.0,0.0,96461.0,202854.0,458672.0,99694.0,0.0,150.0,391.0,5805.0,376.0,0.0
510.0,554.0,65.0,285.0,0.0,78831.0,203515.0,394185.0,83814.0,0.0,154.0,367.0,6064.0,294.0,0.0
648.0,545.0,71.0,267.0,0.0,103668.0,220684.0,443681.0,111265.0,0.0,159.0,404.0,6249.0,416.0,0.0
545.0,521.0,66.0,275.0,0.0,88126.0,221064.0,433039.0,107091.0,0.0,161.0,424.0,6561.0,389.0,0.0
544.0,509.0,74.0,253.0,0.0,88067.0,214831.0,444878.0,102516.0,0.0,161.0,422.0,6011.0,405.0,0.0
572.0,548.0,87.0,261.0,0.0,104976.0,227033.0,472480.0,81887.0,0.0,183.0,414.0,5430.0,313.0,0.0
607.0,538.0,67.0,291.0,0.0,91419.0,228856.0,456970.0,119833.0,0.0,150.0,425.0,6820.0,411.0,0.0
648.0,549.0,67.0,257.0,0.0,102355.0,241607.0,465597.0,95604.0,0.0,157.0,440.0,6949.0,372.0,0.0
146.0,585.0,22.0,354.0,0.0,13999.0,359641.0,282925.0,65744.0,0.0,95.0,614.0,12860.0,185.0,0.0
374.0,588.0,34.0,316.0,0.0,45789.0,303434.0,358167.0,73906.0,0.0,122.0,516.0,10534.0,233.0,0.0
387.0,570.0,39.0,325.0,0.0,42851.0,311469.0,385078.0,74833.0,0.0,110.0,546.0,9873.0,230.0,0.0
364.0,569.0,38.0,344.0,0.0,43987.0,293222.0,362960.0,79458.0,0.0,120.0,515.0,9551.0,230.0,0.0
290.0,608.0,39.0,332.0,0.0,31304.0,257368.0,390479.0,72518.0,0.0,107.0,423.0,10012.0,218.0,0.0
356.0,581.0,33.0,338.0,0.0,41845.0,326098.0,385639.0,78900.0,0.0,117.0,561.0,11686.0,233.0,0.0
208.0,583.0,39.0,329.0,0.0,21397.0,281235.0,374033.0,65667.0,0.0,102.0,482.0,9590.0,199.0,0.0
490.0,505.0,43.0,335.0,0.0,67610.0,278445.0,512043.0,111457.0,0.0,137.0,551.0,11907.0,332.0,0.0
216.0,624.0,35.0,342.0,0.0,20766.0,299335.0,386036.0,77721.0,0.0,96.0,479.0,11029.0,227.0,0.0
326.0,590.0,39.0,357.0,0.0,40080.0,307802.0,412473.0,85704.0,0.0,122.0,521.0,10576.0,240.0,0.0
219.0,649.0,41.0,381.0,0.0,22423.0,305382.0,404474.0,82358.0,0.0,102.0,470.0,9865.0,216.0,0.0
361.0,651.0,41.0,317.0,0.0,43513.0,303158.0,445642.0,76806.0,0.0,120.0,465.0,10869.0,242.0,0.0
287.0,617.0,38.0,372.0,0.0,34267.0,287015.0,439797.0,96672.0,0.0,119.0,465.0,11573.0,259.0,0.0
204.0,647.0,37.0,413.0,0.0,22741.0,279907.0,410731.0,91586.0,0.0,111.0,432.0,11100.0,221.0,0.0
323.0,634.0,38.0,394.0,0.0,38288.0,291622.0,436664.0,105610.0,0.0,118.0,459.0,11491.0,268.0,0.0
220.0,639.0,37.0,417.0,0.0,24053.0,286614.0,428838.0,86537.0,0.0,109.0,448.0,11590.0,207.0,0.0
340.0,673.0,40.0,375.0,0.0,38985.0,295117.0,476908.0,92191.0,0.0,114.0,438.0,11922.0,245.0,0.0
333.0,689.0,41.0,361.0,0.0,40409.0,295426.0,461447.0,78601.0,0.0,121.0,428.0,11254.0,217.0,0.0
350.0,710.0,42.0,397.0,0.0,43414.0,305903.0,514167.0,93381.0,0.0,124.0,430.0,12242.0,235.0,0.0
418.0,644.0,49.0,423.0,0.0,50456.0,318784.0,572434.0,100252.0,0.0,120.0,495.0,11682.0,237.0,0.0
402.0,624.0,42.0,396.0,1.0,51086.0,310199.0,498630.0,101547.0,73451.0,127.0,497.0,11872.0,256.0,73451.0
387.0,661.0,42.0,390.0,0.0,51358.0,320462.0,538148.0,94308.0,0.0,132.0,484.0,12813.0,241.0,0.0
378.0,649.0,37.0,426.0,0.0,47312.0,347109.0,502538.0,116951.0,0.0,125.0,534.0,13582.0,274.0,0.0
399.0,657.0,45.0,420.0,0.0,52152.0,323891.0,585195.0,99149.0,0.0,130.0,492.0,13004.0,236.0,0.0
508.0,632.0,50.0,438.0,0.0,72974.0,319357.0,648218.0,138675.0,0.0,143.0,505.0,12964.0,316.0,0.0
483.0,628.0,48.0,438.0,1.0,64484.0,324975.0,544067.0,107777.0,83173.0,133.0,517.0,11334.0,246.0,83173.0
473.0,654.0,42.0,389.0,2.0,58236.0,342231.0,484205.0,103612.0,149872.0,123.0,523.0,11528.0,266.0,74936.0
494.0,627.0,47.0,423.0,1.0,59153.0,345657.0,579923.0,119621.0,74995.0,119.0,551.0,12338.0,282.0,74995.0
363.0,670.0,48.0,421.0,0.0,41495.0,335682.0,631532.0,110406.0,0.0,114.0,501.0,13156.0,262.0,0.0
357.0,733.0,43.0,489.0,0.0,39897.0,353320.0,608176.0,123761.0,0.0,111.0,482.0,14143.0,253.0,0.0
572.0,661.0,48.0,383.0,2.0,83338.0,347454.0,612056.0,133578.0,175997.0,145.0,525.0,12751.0,348.0,87998.0
450.0,753.0,44.0,444.0,1.0,51266.0,356914.0,597354.0,120462.0,85681.0,113.0,473.0,13576.0,271.0,85681.0
574.0,647.0,44.0,412.0,2.0,74683.0,346040.0,605455.0,136057.0,184433.0,130.0,534.0,13760.0,330.0,92216.0
408.0,725.0,47.0,462.0,1.0,48849.0,372024.0,622655.0,117452.0,89506.0,119.0,513.0,13247.0,254.0,89506.0
477.0,718.0,55.0,383.0,1.0,60227.0,371361.0,687226.0,112253.0,87417.0,126.0,517.0,12495.0,293.0,87417.0
116.0,845.0,36.0,415.0,1.0,13132.0,362824.0,504546.0,77514.0,79650.0,113.0,429.0,14015.0,186.0,79650.0
422.0,728.0,42.0,464.0,1.0,50909.0,397749.0,630547.0,133738.0,86289.0,120.0,546.0,15013.0,288.0,86289.0
463.0,707.0,48.0,413.0,2.0,59612.0,375996.0,645397.0,114761.0,174455.0,128.0,531.0,13445.0,277.0,87227.0
430.0,748.0,45.0,459.0,1.0,51090.0,389074.0,683756.0,118881.0,83960.0,118.0,520.0,15194.0,259.0,83960.0
277.0,816.0,46.0,552.0,1.0,29079.0,385152.0,640363.0,128212.0,81775.0,104.0,472.0,13920.0,232.0,81775.0
284.0,838.0,42.0,484.0,1.0,33156.0,398366.0,614922.0,107055.0,82064.0,116.0,475.0,14641.0,221.0,82064.0
161.0,868.0,41.0,527.0,1.0,16151.0,392038.0,585514.0,101727.0,75640.0,100.0,451.0,14280.0,193.0,75640.0
441.0,808.0,43.0,459.0,1.0,52092.0,407496.0,702593.0,132234.0,89763.0,118.0,504.0,16339.0,288.0,89763.0
353.0,808.0,40.0,447.0,1.0,40857.0,434666.0,671215.0,122285.0,83889.0,115.0,537.0,16780.0,273.0,83889.0
435.0,840.0,48.0,437.0,1.0,47605.0,419318.0,722064.0,106569.0,89215.0,109.0,499.0,15043.0,243.0,89215.0
378.0,829.0,44.0,456.0,1.0,43517.0,412485.0,720667.0,106952.0,81889.0,115.0,497.0,16378.0,234.0,81889.0
201.0,897.0,37.0,532.0,1.0,21317.0,428909.0,612567.0,109954.0,83910.0,106.0,478.0,16555.0,206.0,83910.0
436.0,843.0,50.0,488.0,1.0,53070.0,417577.0,768517.0,127781.0,85529.0,121.0,495.0,15370.0,261.0,85529.0
54.0,61.0,4.0,20.0,1.0,9848.0,35077.0,66630.0,10083.0,3613959.0,182.0,575.0,16657.0,504.0,3613959.0
423.0,841.0,50.0,493.0,1.0,47926.0,408832.0,777833.0,124584.0,94475.0,113.0,486.0,15556.0,252.0,94475.0
311.0,908.0,46.0,504.0,1.0,33894.0,412505.0,720811.0,117005.0,92200.0,108.0,454.0,15669.0,232.0,92200.0
475.0,815.0,57.0,441.0,2.0,58905.0,424415.0,750524.0,131730.0,187077.0,124.0,520.0,13167.0,298.0,93538.0
106.0,997.0,31.0,458.0,1.0,10054.0,421069.0,605183.0,86997.0,82580.0,94.0,422.0,19522.0,189.0,82580.0
442.0,876.0,49.0,418.0,2.0,55891.0,430441.0,769879.0,119736.0,158097.0,126.0,491.0,15711.0,286.0,79048.0
468.0,881.0,51.0,402.0,2.0,56809.0,437842.0,815519.0,103821.0,161632.0,121.0,496.0,15990.0,258.0,80816.0
418.0,856.0,50.0,421.0,2.0,49214.0,448046.0,766223.0,108746.0,163519.0,117.0,523.0,15324.0,258.0,81759.0
306.0,912.0,50.0,503.0,1.0,34599.0,458101.0,775102.0,108803.0,81080.0,113.0,502.0,15502.0,216.0,81080.0
186.0,976.0,49.0,498.0,2.0,19542.0,429833.0,677264.0,101219.0,152681.0,105.0,440.0,13821.0,203.0,76340.0
176.0,973.0,44.0,547.0,1.0,17692.0,419183.0,728674.0,104724.0,82996.0,100.0,430.0,16560.0,191.0,82996.0
387.0,950.0,44.0,478.0,2.0,45697.0,457420.0,757457.0,113986.0,165799.0,118.0,481.0,17214.0,238.0,82899.0
400.0,913.0,55.0,441.0,3.0,46977.0,425770.0,749280.0,116072.0,259618.0,117.0,466.0,13623.0,263.0,86539.0
