count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
236.0,324.0,8.0,300.0,0.0,25624.0,272457.0,56715.0,81589.0,0.0,108.0,840.0,7089.0,271.0,0.0
311.0,388.0,32.0,251.0,0.0,39157.0,205178.0,185090.0,60680.0,0.0,125.0,528.0,5784.0,241.0,0.0
364.0,446.0,36.0,219.0,0.0,45222.0,194603.0,187078.0,55214.0,0.0,124.0,436.0,5196.0,252.0,0.0
229.0,422.0,36.0,268.0,0.0,25056.0,183190.0,209512.0,53423.0,0.0,109.0,434.0,5819.0,199.0,0.0
208.0,412.0,39.0,260.0,0.0,25023.0,173977.0,226713.0,77548.0,0.0,120.0,422.0,5813.0,298.0,0.0
150.0,415.0,37.0,273.0,0.0,18168.0,170055.0,191724.0,52138.0,0.0,121.0,409.0,5181.0,190.0,0.0
247.0,398.0,42.0,269.0,0.0,36868.0,164069.0,246256.0,71888.0,0.0,149.0,412.0,5863.0,267.0,0.0
245.0,396.0,44.0,277.0,0.0,27937.0,159070.0,223274.0,63372.0,0.0,114.0,401.0,5074.0,228.0,0.0
201.0,431.0,36.0,272.0,0.0,23131.0,187464.0,197303.0,60731.0,0.0,115.0,434.0,5480.0,223.0,0.0
123.0,452.0,34.0,269.0,0.0,12842.0,183308.0,189641.0,51570.0,0.0,104.0,405.0,5577.0,191.0,0.0
236.0,424.0,46.0,303.0,0.0,24304.0,174146.0,225070.0,79053.0,0.0,102.0,410.0,4892.0,260.0,0.0
314.0,445.0,42.0,239.0,0.0,36730.0,206496.0,242683.0,55351.0,0.0,116.0,464.0,5778.0,231.0,0.0
166.0,448.0,38.0,313.0,0.0,21049.0,175665.0,205469.0,51711.0,0.0,126.0,392.0,5407.0,165.0,0.0
234.0,474.0,43.0,252.0,0.0,29481.0,186652.0,212997.0,56895.0,0.0,125.0,393.0,4953.0,225.0,0.0
160.0,427.0,40.0,277.0,0.0,18160.0,170512.0,220087.0,51120.0,0.0,113.0,399.0,5502.0,184.0,0.0
181.0,497.0,38.0,299.0,0.0,23731.0,169289.0,220042.0,63238.0,0.0,131.0,340.0,5790.0,211.0,0.0
341.0,472.0,38.0,288.0,0.0,63116.0,191185.0,254712.0,70789.0,0.0,185.0,405.0,6702.0,245.0,0.0
263.0,482.0,45.0,282.0,0.0,35821.0,173167.0,265902.0,70057.0,0.0,136.0,359.0,5908.0,248.0,0.0
263.0,498.0,43.0,321.0,0.0,31397.0,180634.0,250064.0,67066.0,0.0,119.0,362.0,5815.0,208.0,0.0
329.0,486.0,41.0,308.0,0.0,39324.0,193341.0,260501.0,70560.0,0.0,119.0,397.0,6353.0,229.0,0.0
353.0,484.0,49.0,273.0,0.0,45686.0,200723.0,262263.0,91394.0,0.0,129.0,414.0,5352.0,334.0,0.0
