count_0,count_1,count_2,count_3,total_area_0,total_area_1,total_area_2,total_area_3,mean_area_0,mean_area_1,mean_area_2,mean_area_3
157.0,463.0,6.0,228.0,19465.0,266849.0,42862.0,49603.0,123.0,576.0,7143.0,217.0
474.0,440.0,41.0,180.0,63357.0,192833.0,170018.0,48961.0,133.0,438.0,4146.0,272.0
575.0,434.0,40.0,210.0,90816.0,201781.0,199436.0,58871.0,157.0,464.0,4985.0,280.0
352.0,483.0,35.0,199.0,43320.0,214542.0,131877.0,40305.0,123.0,444.0,3767.0,202.0
643.0,446.0,54.0,264.0,88007.0,186661.0,239847.0,84576.0,136.0,418.0,4441.0,320.0
777.0,441.0,51.0,242.0,108232.0,198267.0,231639.0,89689.0,139.0,449.0,4541.0,370.0
733.0,488.0,43.0,220.0,102052.0,208430.0,249997.0,56203.0,139.0,427.0,5813.0,255.0
560.0,557.0,44.0,236.0,70543.0,207448.0,212163.0,55731.0,125.0,372.0,4821.0,236.0
672.0,542.0,48.0,247.0,86530.0,213188.0,220874.0,61470.0,128.0,393.0,4601.0,248.0
775.0,572.0,50.0,259.0,98112.0,207044.0,233589.0,70984.0,126.0,361.0,4671.0,274.0
761.0,587.0,51.0,258.0,99446.0,227737.0,221043.0,71800.0,130.0,387.0,4334.0,278.0
551.0,619.0,47.0,243.0,59829.0,242309.0,198912.0,54737.0,108.0,391.0,4232.0,225.0
632.0,609.0,50.0,242.0,76247.0,242976.0,218765.0,56029.0,120.0,398.0,4375.0,231.0
659.0,622.0,53.0,265.0,84549.0,257471.0,238476.0,62190.0,128.0,413.0,4499.0,234.0
503.0,638.0,54.0,268.0,58712.0,240485.0,223847.0,53756.0,116.0,376.0,4145.0,200.0
783.0,605.0,59.0,266.0,111500.0,243343.0,276562.0,70486.0,142.0,402.0,4687.0,264.0
194.0,698.0,44.0,274.0,18385.0,236796.0,173416.0,40676.0,94.0,339.0,3941.0,148.0
771.0,619.0,62.0,284.0,107406.0,237747.0,274015.0,87939.0,139.0,384.0,4419.0,309.0
750.0,699.0,59.0,262.0,102966.0,256825.0,287872.0,80068.0,137.0,367.0,4879.0,305.0
730.0,648.0,63.0,268.0,101177.0,244601.0,288347.0,77548.0,138.0,377.0,4576.0,289.0
743.0,637.0,70.0,295.0,99658.0,246992.0,305364.0,89149.0,134.0,387.0,4362.0,302.0
722.0,679.0,68.0,264.0,99311.0,253386.0,305476.0,68781.0,137.0,373.0,4492.0,260.0
777.0,640.0,69.0,266.0,115342.0,253061.0,347283.0,67433.0,148.0,395.0,5033.0,253.0
621.0,708.0,57.0,272.0,74768.0,267929.0,263228.0,83035.0,120.0,378.0,4618.0,305.0
831.0,638.0,62.0,295.0,124793.0,265379.0,327272.0,116820.0,150.0,415.0,5278.0,396.0
673.0,720.0,61.0,267.0,90757.0,270025.0,274621.0,75133.0,134.0,375.0,4501.0,281.0
758.0,643.0,82.0,304.0,116160.0,257568.0,358125.0,101951.0,153.0,400.0,4367.0,335.0
725.0,751.0,63.0,294.0,112198.0,302961.0,285140.0,87216.0,154.0,403.0,4526.0,296.0
686.0,720.0,69.0,273.0,100535.0,286673.0,298192.0,83897.0,146.0,398.0,4321.0,307.0
703.0,775.0,63.0,303.0,106693.0,292796.0,304968.0,85953.0,151.0,377.0,4840.0,283.0
525.0,837.0,54.0,287.0,63974.0,310775.0,230757.0,62380.0,121.0,371.0,4273.0,217.0
691.0,732.0,63.0,311.0,96524.0,304775.0,300529.0,91401.0,139.0,416.0,4770.0,293.0
737.0,732.0,71.0,307.0,111038.0,307548.0,330071.0,101371.0,150.0,420.0,4648.0,330.0
581.0,801.0,60.0,305.0,81193.0,309783.0,263633.0,73574.0,139.0,386.0,4393.0,241.0
694.0,753.0,68.0,313.0,94992.0,319733.0,315526.0,91026.0,136.0,424.0,4640.0,290.0
670.0,758.0,71.0,301.0,90259.0,314660.0,310884.0,101963.0,134.0,415.0,4378.0,338.0
620.0,784.0,71.0,312.0,89232.0,316205.0,318054.0,94357.0,143.0,403.0,4479.0,302.0
617.0,740.0,74.0,310.0,90055.0,299480.0,328158.0,80974.0,145.0,404.0,4434.0,261.0
127.0,641.0,14.0,419.0,12443.0,281289.0,139350.0,70493.0,97.0,438.0,9953.0,168.0
495.0,579.0,35.0,352.0,62572.0,272441.0,271584.0,99225.0,126.0,470.0,7759.0,281.0
545.0,598.0,37.0,389.0,72588.0,274930.0,220590.0,92292.0,133.0,459.0,5961.0,237.0
534.0,562.0,33.0,389.0,66174.0,283861.0,230331.0,91766.0,123.0,505.0,6979.0,235.0
493.0,513.0,33.0,407.0,59255.0,245782.0,235100.0,86033.0,120.0,479.0,7124.0,211.0
580.0,540.0,34.0,347.0,73551.0,266562.0,244977.0,103958.0,126.0,493.0,7205.0,299.0
452.0,520.0,43.0,396.0,51556.0,226350.0,280369.0,95317.0,114.0,435.0,6520.0,240.0
490.0,495.0,41.0,374.0,60860.0,247894.0,308453.0,115129.0,124.0,500.0,7523.0,307.0
423.0,502.0,39.0,361.0,53682.0,238061.0,284586.0,116908.0,126.0,474.0,7297.0,323.0
302.0,567.0,31.0,396.0,30968.0,256885.0,230571.0,91192.0,102.0,453.0,7437.0,230.0
487.0,479.0,43.0,360.0,64092.0,236004.0,327611.0,107618.0,131.0,492.0,7618.0,298.0
531.0,511.0,36.0,338.0,70663.0,262446.0,277305.0,111330.0,133.0,513.0,7702.0,329.0
406.0,514.0,37.0,384.0,51837.0,247072.0,297065.0,121431.0,127.0,480.0,8028.0,316.0
445.0,499.0,38.0,390.0,56173.0,251751.0,278254.0,119123.0,126.0,504.0,7322.0,305.0
489.0,524.0,33.0,387.0,69953.0,255703.0,270682.0,122113.0,143.0,487.0,8202.0,315.0
