count_0,count_1,count_2,count_3,total_area_0,total_area_1,total_area_2,total_area_3,mean_area_0,mean_area_1,mean_area_2,mean_area_3
320.0,390.0,16.0,219.0,42429.0,244506.0,85833.0,52402.0,132.0,626.0,5364.0,239.0
393.0,411.0,29.0,182.0,71220.0,204122.0,152629.0,40981.0,181.0,496.0,5263.0,225.0
358.0,405.0,32.0,170.0,49224.0,203891.0,159262.0,55976.0,137.0,503.0,4976.0,329.0
205.0,435.0,34.0,173.0,21722.0,192731.0,142489.0,30125.0,105.0,443.0,4190.0,174.0
271.0,461.0,26.0,180.0,34813.0,235554.0,122565.0,33344.0,128.0,510.0,4714.0,185.0
295.0,474.0,33.0,200.0,35437.0,208971.0,152871.0,45026.0,120.0,440.0,4632.0,225.0
302.0,488.0,34.0,161.0,36949.0,211575.0,170345.0,34885.0,122.0,433.0,5010.0,216.0
243.0,553.0,32.0,169.0,34038.0,226595.0,148856.0,29972.0,140.0,409.0,4651.0,177.0
264.0,547.0,35.0,164.0,32731.0,212613.0,165460.0,26715.0,123.0,388.0,4727.0,162.0
259.0,551.0,34.0,183.0,32474.0,221375.0,167181.0,34955.0,125.0,401.0,4917.0,191.0
210.0,578.0,37.0,178.0,23017.0,216132.0,150815.0,30086.0,109.0,373.0,4076.0,169.0
214.0,531.0,41.0,199.0,23213.0,215061.0,173711.0,34249.0,108.0,405.0,4236.0,172.0
295.0,558.0,41.0,168.0,36412.0,243444.0,148364.0,29984.0,123.0,436.0,3618.0,178.0
305.0,545.0,43.0,169.0,39623.0,223281.0,177413.0,31747.0,129.0,409.0,4125.0,187.0
215.0,571.0,35.0,169.0,22151.0,226656.0,155602.0,24367.0,103.0,396.0,4445.0,144.0
205.0,574.0,40.0,172.0,23453.0,225957.0,163566.0,25721.0,114.0,393.0,4089.0,149.0
314.0,508.0,44.0,153.0,38892.0,204929.0,196818.0,30335.0,123.0,403.0,4473.0,198.0
255.0,536.0,41.0,184.0,27570.0,212620.0,176704.0,27255.0,108.0,396.0,4309.0,148.0
282.0,515.0,41.0,165.0,34544.0,212365.0,184584.0,30619.0,122.0,412.0,4502.0,185.0
422.0,519.0,47.0,160.0,69311.0,208627.0,209227.0,35620.0,164.0,401.0,4451.0,222.0
252.0,509.0,36.0,155.0,26359.0,206442.0,182873.0,26322.0,104.0,405.0,5079.0,169.0
329.0,471.0,43.0,145.0,48038.0,192463.0,222486.0,26955.0,146.0,408.0,5174.0,185.0
340.0,475.0,41.0,145.0,45466.0,191521.0,211818.0,30957.0,133.0,403.0,5166.0,213.0
358.0,500.0,47.0,135.0,42847.0,194270.0,208154.0,26569.0,119.0,388.0,4428.0,196.0
300.0,486.0,38.0,137.0,41799.0,200978.0,205573.0,28739.0,139.0,413.0,5409.0,209.0
327.0,432.0,46.0,136.0,42265.0,185377.0,227233.0,30739.0,129.0,429.0,4939.0,226.0
363.0,421.0,46.0,133.0,49287.0,169979.0,255498.0,31457.0,135.0,403.0,5554.0,236.0
372.0,459.0,48.0,141.0,48196.0,188617.0,238555.0,40363.0,129.0,410.0,4969.0,286.0
357.0,451.0,52.0,147.0,42512.0,171783.0,248366.0,38421.0,119.0,380.0,4776.0,261.0
314.0,440.0,53.0,175.0,47714.0,168506.0,247271.0,37623.0,151.0,382.0,4665.0,214.0
246.0,482.0,46.0,148.0,28206.0,186352.0,217793.0,33883.0,114.0,386.0,4734.0,228.0
357.0,450.0,50.0,151.0,42899.0,173027.0,250360.0,33334.0,120.0,384.0,5007.0,220.0
367.0,488.0,50.0,155.0,42424.0,181623.0,259756.0,37813.0,115.0,372.0,5195.0,243.0
245.0,509.0,44.0,160.0,27241.0,203394.0,210653.0,26686.0,111.0,399.0,4787.0,166.0
328.0,525.0,46.0,165.0,38670.0,195495.0,225580.0,27849.0,117.0,372.0,4903.0,168.0
261.0,531.0,48.0,165.0,30581.0,194443.0,229886.0,27233.0,117.0,366.0,4789.0,165.0
291.0,543.0,42.0,167.0,35209.0,200911.0,233447.0,25188.0,120.0,370.0,5558.0,150.0
346.0,527.0,42.0,183.0,39711.0,193805.0,241779.0,29378.0,114.0,367.0,5756.0,160.0
218.0,480.0,19.0,159.0,26315.0,195322.0,147415.0,42820.0,120.0,406.0,7758.0,269.0
45.0,483.0,14.0,156.0,4250.0,179649.0,79812.0,16117.0,94.0,371.0,5700.0,103.0
38.0,451.0,16.0,151.0,4216.0,164004.0,70487.0,15933.0,110.0,363.0,4405.0,105.0
158.0,450.0,22.0,150.0,18738.0,163722.0,183214.0,21553.0,118.0,363.0,8327.0,143.0
97.0,446.0,17.0,144.0,18484.0,164507.0,71634.0,16058.0,190.0,368.0,4213.0,111.0
114.0,423.0,17.0,158.0,15002.0,167314.0,84415.0,31923.0,131.0,395.0,4965.0,202.0
67.0,409.0,19.0,147.0,7155.0,155747.0,98227.0,27051.0,106.0,380.0,5169.0,184.0
68.0,411.0,15.0,133.0,6896.0,147043.0,91478.0,15716.0,101.0,357.0,6098.0,118.0
146.0,411.0,21.0,138.0,18126.0,145148.0,82589.0,39525.0,124.0,353.0,3932.0,286.0
89.0,379.0,22.0,150.0,13569.0,148513.0,122619.0,23285.0,152.0,391.0,5573.0,155.0
47.0,379.0,16.0,138.0,5961.0,135260.0,71724.0,15106.0,126.0,356.0,4482.0,109.0
58.0,382.0,14.0,139.0,6469.0,147368.0,60833.0,28205.0,111.0,385.0,4345.0,202.0
98.0,358.0,14.0,159.0,16034.0,157690.0,54713.0,36685.0,163.0,440.0,3908.0,230.0
105.0,362.0,16.0,147.0,15442.0,146909.0,71229.0,28839.0,147.0,405.0,4451.0,196.0
167.0,355.0,21.0,129.0,22828.0,147947.0,196819.0,23778.0,136.0,416.0,9372.0,184.0
51.0,362.0,15.0,152.0,5782.0,139149.0,67707.0,21653.0,113.0,384.0,4513.0,142.0
78.0,345.0,20.0,150.0,9644.0,130463.0,74536.0,24996.0,123.0,378.0,3726.0,166.0
178.0,323.0,23.0,144.0,33016.0,134233.0,108964.0,30524.0,185.0,415.0,4737.0,211.0
100.0,370.0,14.0,144.0,15608.0,146900.0,60705.0,22850.0,156.0,397.0,4336.0,158.0
127.0,351.0,15.0,162.0,15767.0,141058.0,79488.0,29809.0,124.0,401.0,5299.0,184.0
112.0,333.0,14.0,135.0,15640.0,149206.0,103163.0,21823.0,139.0,448.0,7368.0,161.0
87.0,384.0,15.0,145.0,13789.0,139662.0,65858.0,36583.0,158.0,363.0,4390.0,252.0
92.0,357.0,14.0,143.0,10282.0,148421.0,83193.0,27333.0,111.0,415.0,5942.0,191.0
121.0,328.0,13.0,160.0,17887.0,144628.0,102002.0,27387.0,147.0,440.0,7846.0,171.0
100.0,339.0,13.0,146.0,16360.0,153582.0,64525.0,21387.0,163.0,453.0,4963.0,146.0
96.0,361.0,14.0,157.0,12353.0,135299.0,71921.0,27857.0,128.0,374.0,5137.0,177.0
72.0,375.0,12.0,146.0,13929.0,140939.0,56121.0,22540.0,193.0,375.0,4676.0,154.0
