count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
161.0,387.0,16.0,188.0,0.0,16836.0,235314.0,83225.0,38047.0,0.0,104.0,608.0,5201.0,202.0,0.0
555.0,354.0,38.0,192.0,0.0,86780.0,171792.0,172159.0,66111.0,0.0,156.0,485.0,4530.0,344.0,0.0
483.0,355.0,30.0,183.0,0.0,70421.0,188728.0,140663.0,51281.0,0.0,145.0,531.0,4688.0,280.0,0.0
542.0,356.0,43.0,186.0,0.0,79712.0,166327.0,170248.0,62515.0,0.0,147.0,467.0,3959.0,336.0,0.0
457.0,361.0,37.0,190.0,0.0,68904.0,179560.0,172421.0,62305.0,0.0,150.0,497.0,4660.0,327.0,0.0
493.0,326.0,46.0,150.0,0.0,71175.0,156324.0,213194.0,47091.0,0.0,144.0,479.0,4634.0,313.0,0.0
503.0,347.0,41.0,176.0,0.0,74672.0,175186.0,195761.0,67508.0,0.0,148.0,504.0,4774.0,383.0,0.0
467.0,361.0,44.0,174.0,0.0,70820.0,159179.0,211081.0,50984.0,0.0,151.0,440.0,4797.0,293.0,0.0
501.0,347.0,43.0,188.0,0.0,74100.0,159808.0,213512.0,50914.0,0.0,147.0,460.0,4965.0,270.0,0.0
482.0,377.0,42.0,188.0,0.0,77782.0,176463.0,208300.0,60424.0,0.0,161.0,468.0,4959.0,321.0,0.0
506.0,376.0,40.0,184.0,0.0,90343.0,172492.0,227529.0,42335.0,0.0,178.0,458.0,5688.0,230.0,0.0
490.0,380.0,39.0,215.0,0.0,78261.0,169710.0,216371.0,76518.0,0.0,159.0,446.0,5547.0,355.0,0.0
477.0,395.0,44.0,204.0,0.0,73043.0,181672.0,219638.0,58525.0,0.0,153.0,459.0,4991.0,286.0,0.0
566.0,368.0,55.0,210.0,0.0,99012.0,156969.0,267421.0,69810.0,0.0,174.0,426.0,4862.0,332.0,0.0
493.0,368.0,55.0,224.0,0.0,82699.0,146002.0,265892.0,67695.0,0.0,167.0,396.0,4834.0,302.0,0.0
527.0,388.0,49.0,211.0,0.0,100706.0,173529.0,262976.0,76536.0,0.0,191.0,447.0,5366.0,362.0,0.0
606.0,394.0,50.0,218.0,0.0,100651.0,189024.0,267083.0,78950.0,0.0,166.0,479.0,5341.0,362.0,0.0
491.0,387.0,41.0,221.0,0.0,79671.0,189950.0,252920.0,84146.0,0.0,162.0,490.0,6168.0,380.0,0.0
535.0,364.0,52.0,225.0,0.0,81696.0,181994.0,307829.0,70866.0,0.0,152.0,499.0,5919.0,314.0,0.0
533.0,399.0,52.0,201.0,0.0,81504.0,190448.0,286810.0,71656.0,0.0,152.0,477.0,5515.0,356.0,0.0
522.0,404.0,49.0,210.0,0.0,83292.0,211515.0,280294.0,76712.0,0.0,159.0,523.0,5720.0,365.0,0.0
566.0,415.0,55.0,228.0,0.0,103233.0,188419.0,343051.0,61352.0,0.0,182.0,454.0,6237.0,269.0,0.0
490.0,416.0,47.0,217.0,0.0,83517.0,195478.0,297451.0,77257.0,0.0,170.0,469.0,6328.0,356.0,0.0
619.0,409.0,50.0,221.0,0.0,110291.0,206900.0,304417.0,87822.0,0.0,178.0,505.0,6088.0,397.0,0.0
473.0,426.0,45.0,207.0,0.0,77982.0,199372.0,298542.0,67308.0,0.0,164.0,468.0,6634.0,325.0,0.0
600.0,426.0,51.0,209.0,0.0,115414.0,209513.0,345373.0,91023.0,0.0,192.0,491.0,6772.0,435.0,0.0
577.0,429.0,55.0,210.0,0.0,106970.0,211467.0,373060.0,78587.0,0.0,185.0,492.0,6782.0,374.0,0.0
602.0,448.0,61.0,228.0,0.0,103711.0,210663.0,398618.0,81742.0,0.0,172.0,470.0,6534.0,358.0,0.0
581.0,424.0,66.0,221.0,0.0,105521.0,190247.0,388273.0,85454.0,0.0,181.0,448.0,5882.0,386.0,0.0
548.0,437.0,53.0,211.0,0.0,98144.0,179428.0,415510.0,81764.0,0.0,179.0,410.0,7839.0,387.0,0.0
562.0,462.0,64.0,230.0,0.0,94526.0,217323.0,411909.0,90027.0,0.0,168.0,470.0,6436.0,391.0,0.0
691.0,446.0,72.0,219.0,0.0,120384.0,213679.0,474972.0,85931.0,0.0,174.0,479.0,6596.0,392.0,0.0
594.0,442.0,64.0,224.0,0.0,99494.0,216307.0,413773.0,77381.0,0.0,167.0,489.0,6465.0,345.0,0.0
515.0,449.0,59.0,216.0,0.0,84364.0,216880.0,434079.0,85045.0,0.0,163.0,483.0,7357.0,393.0,0.0
625.0,419.0,67.0,246.0,0.0,107849.0,198071.0,480861.0,101472.0,0.0,172.0,472.0,7177.0,412.0,0.0
552.0,491.0,59.0,252.0,0.0,91949.0,222828.0,452817.0,94213.0,0.0,166.0,453.0,7674.0,373.0,0.0
415.0,522.0,58.0,211.0,0.0,53559.0,203719.0,419719.0,46357.0,0.0,129.0,390.0,7236.0,219.0,0.0
570.0,443.0,64.0,245.0,0.0,92822.0,177790.0,479932.0,81207.0,0.0,162.0,401.0,7498.0,331.0,0.0
329.0,469.0,31.0,291.0,1.0,46899.0,262086.0,396388.0,57806.0,126247.0,142.0,558.0,12786.0,198.0,126247.0
600.0,521.0,53.0,274.0,0.0,81270.0,239306.0,465951.0,64893.0,0.0,135.0,459.0,8791.0,236.0,0.0
613.0,504.0,55.0,252.0,0.0,86904.0,228479.0,481599.0,70914.0,0.0,141.0,453.0,8756.0,281.0,0.0
649.0,444.0,58.0,247.0,0.0,96655.0,210747.0,507783.0,69040.0,0.0,148.0,474.0,8754.0,279.0,0.0
529.0,481.0,55.0,250.0,0.0,66940.0,203712.0,506721.0,59749.0,0.0,126.0,423.0,9213.0,238.0,0.0
564.0,455.0,51.0,268.0,0.0,70708.0,235513.0,477316.0,72169.0,0.0,125.0,517.0,9359.0,269.0,0.0
541.0,473.0,53.0,247.0,0.0,71038.0,224285.0,509274.0,57583.0,0.0,131.0,474.0,9608.0,233.0,0.0
587.0,469.0,50.0,264.0,0.0,82813.0,234955.0,534210.0,79173.0,0.0,141.0,500.0,10684.0,299.0,0.0
582.0,448.0,59.0,232.0,0.0,88272.0,208394.0,540199.0,68595.0,0.0,151.0,465.0,9155.0,295.0,0.0
642.0,415.0,57.0,218.0,0.0,104108.0,218082.0,552881.0,86824.0,0.0,162.0,525.0,9699.0,398.0,0.0
622.0,419.0,54.0,231.0,0.0,92290.0,217522.0,587787.0,79234.0,0.0,148.0,519.0,10884.0,343.0,0.0
433.0,464.0,46.0,250.0,0.0,53947.0,231754.0,507583.0,64539.0,0.0,124.0,499.0,11034.0,258.0,0.0
566.0,417.0,55.0,256.0,0.0,76512.0,209521.0,579790.0,82944.0,0.0,135.0,502.0,10541.0,324.0,0.0
606.0,433.0,58.0,278.0,0.0,91227.0,210834.0,577398.0,111498.0,0.0,150.0,486.0,9955.0,401.0,0.0
617.0,437.0,51.0,257.0,0.0,100352.0,223544.0,563498.0,92697.0,0.0,162.0,511.0,11048.0,360.0,0.0
542.0,444.0,60.0,249.0,0.0,83503.0,213655.0,602694.0,73751.0,0.0,154.0,481.0,10044.0,296.0,0.0
653.0,431.0,61.0,234.0,0.0,102974.0,226530.0,622674.0,76680.0,0.0,157.0,525.0,10207.0,327.0,0.0
643.0,469.0,55.0,251.0,0.0,89673.0,243360.0,580986.0,84480.0,0.0,139.0,518.0,10563.0,336.0,0.0
621.0,491.0,53.0,277.0,0.0,84267.0,220209.0,608715.0,84365.0,0.0,135.0,448.0,11485.0,304.0,0.0
559.0,459.0,51.0,262.0,0.0,74166.0,220813.0,608682.0,78745.0,0.0,132.0,481.0,11934.0,300.0,0.0
749.0,473.0,57.0,280.0,0.0,114469.0,230214.0,667447.0,109096.0,0.0,152.0,486.0,11709.0,389.0,0.0
611.0,484.0,52.0,260.0,0.0,84317.0,222246.0,632408.0,83140.0,0.0,137.0,459.0,12161.0,319.0,0.0
664.0,500.0,52.0,288.0,0.0,99773.0,241895.0,631638.0,89657.0,0.0,150.0,483.0,12146.0,311.0,0.0
710.0,472.0,59.0,274.0,0.0,102431.0,222043.0,676983.0,118441.0,0.0,144.0,470.0,11474.0,432.0,0.0
790.0,488.0,62.0,268.0,0.0,125028.0,224280.0,718139.0,123398.0,0.0,158.0,459.0,11582.0,460.0,0.0
614.0,495.0,56.0,291.0,0.0,83216.0,226639.0,655447.0,91362.0,0.0,135.0,457.0,11704.0,313.0,0.0
564.0,482.0,57.0,302.0,0.0,74135.0,198831.0,679179.0,89321.0,0.0,131.0,412.0,11915.0,295.0,0.0
741.0,455.0,62.0,273.0,0.0,109948.0,225677.0,741352.0,102090.0,0.0,148.0,495.0,11957.0,373.0,0.0
611.0,519.0,58.0,290.0,0.0,80754.0,226152.0,705728.0,100367.0,0.0,132.0,435.0,12167.0,346.0,0.0
690.0,512.0,61.0,287.0,0.0,99398.0,228911.0,729273.0,104490.0,0.0,144.0,447.0,11955.0,364.0,0.0
