count_0,count_1,count_2,count_3,count_4,total_area_0,total_area_1,total_area_2,total_area_3,total_area_4,mean_area_0,mean_area_1,mean_area_2,mean_area_3,mean_area_4
154.0,271.0,10.0,168.0,1.0,20092.0,208699.0,66675.0,41979.0,54222.0,130.0,770.0,6667.0,249.0,54222.0
374.0,244.0,24.0,144.0,0.0,74789.0,176043.0,168961.0,51750.0,0.0,199.0,721.0,7040.0,359.0,0.0
224.0,249.0,25.0,146.0,0.0,37436.0,170182.0,128889.0,39456.0,0.0,167.0,683.0,5155.0,270.0,0.0
247.0,256.0,27.0,186.0,0.0,34624.0,162376.0,142346.0,61219.0,0.0,140.0,634.0,5272.0,329.0,0.0
251.0,290.0,22.0,176.0,0.0,41183.0,178134.0,119965.0,52379.0,0.0,164.0,614.0,5452.0,297.0,0.0
293.0,261.0,24.0,195.0,0.0,47223.0,177213.0,134147.0,60963.0,0.0,161.0,678.0,5589.0,312.0,0.0
277.0,286.0,26.0,174.0,0.0,43105.0,166110.0,137363.0,60092.0,0.0,155.0,580.0,5283.0,345.0,0.0
357.0,282.0,25.0,213.0,0.0,58943.0,170263.0,134034.0,69449.0,0.0,165.0,603.0,5361.0,326.0,0.0
534.0,291.0,30.0,185.0,0.0,90132.0,187017.0,159857.0,76512.0,0.0,168.0,642.0,5328.0,413.0,0.0
455.0,305.0,28.0,200.0,0.0,72883.0,190582.0,165570.0,90931.0,0.0,160.0,624.0,5913.0,454.0,0.0
463.0,296.0,31.0,209.0,0.0,79939.0,190381.0,160974.0,84650.0,0.0,172.0,643.0,5192.0,405.0,0.0
409.0,321.0,30.0,210.0,0.0,67450.0,191289.0,160333.0,70406.0,0.0,164.0,595.0,5344.0,335.0,0.0
484.0,338.0,33.0,192.0,0.0,80889.0,189289.0,185385.0,79835.0,0.0,167.0,560.0,5617.0,415.0,0.0
438.0,345.0,31.0,187.0,0.0,60733.0,201000.0,179603.0,77029.0,0.0,138.0,582.0,5793.0,411.0,0.0
453.0,327.0,41.0,207.0,0.0,82222.0,167412.0,208999.0,73625.0,0.0,181.0,511.0,5097.0,355.0,0.0
399.0,342.0,37.0,214.0,0.0,59500.0,178379.0,215519.0,64969.0,0.0,149.0,521.0,5824.0,303.0,0.0
379.0,361.0,33.0,232.0,0.0,52744.0,196285.0,197739.0,66439.0,0.0,139.0,543.0,5992.0,286.0,0.0
397.0,370.0,34.0,223.0,0.0,61896.0,209512.0,209830.0,75901.0,0.0,155.0,566.0,6171.0,340.0,0.0
365.0,383.0,37.0,234.0,0.0,51601.0,204891.0,207488.0,71766.0,0.0,141.0,534.0,5607.0,306.0,0.0
431.0,386.0,39.0,218.0,0.0,62902.0,210209.0,221260.0,69889.0,0.0,145.0,544.0,5673.0,320.0,0.0
414.0,395.0,43.0,228.0,0.0,59149.0,210673.0,244938.0,83085.0,0.0,142.0,533.0,5696.0,364.0,0.0
347.0,387.0,39.0,254.0,0.0,51065.0,207707.0,224840.0,78988.0,0.0,147.0,536.0,5765.0,310.0,0.0
348.0,400.0,40.0,243.0,0.0,48641.0,206215.0,242439.0,66693.0,0.0,139.0,515.0,6060.0,274.0,0.0
371.0,410.0,39.0,254.0,0.0,46966.0,219761.0,236944.0,77820.0,0.0,126.0,536.0,6075.0,306.0,0.0
404.0,398.0,41.0,219.0,0.0,56190.0,212096.0,265655.0,76044.0,0.0,139.0,532.0,6479.0,347.0,0.0
355.0,437.0,40.0,258.0,0.0,43822.0,224511.0,257628.0,79062.0,0.0,123.0,513.0,6440.0,306.0,0.0
429.0,417.0,37.0,266.0,0.0,65714.0,224808.0,266425.0,86017.0,0.0,153.0,539.0,7200.0,323.0,0.0
473.0,440.0,39.0,237.0,0.0,70961.0,241465.0,283691.0,99425.0,0.0,150.0,548.0,7274.0,419.0,0.0
400.0,431.0,41.0,278.0,0.0,55494.0,231763.0,279260.0,90844.0,0.0,138.0,537.0,6811.0,326.0,0.0
348.0,443.0,39.0,275.0,0.0,44840.0,238204.0,276896.0,79295.0,0.0,128.0,537.0,7099.0,288.0,0.0
392.0,468.0,44.0,256.0,0.0,51017.0,239200.0,291707.0,78289.0,0.0,130.0,511.0,6629.0,305.0,0.0
372.0,485.0,40.0,279.0,0.0,42316.0,251003.0,280779.0,79690.0,0.0,113.0,517.0,7019.0,285.0,0.0
437.0,448.0,45.0,275.0,0.0,53646.0,234603.0,309301.0,75538.0,0.0,122.0,523.0,6873.0,274.0,0.0
366.0,461.0,45.0,282.0,0.0,42710.0,244413.0,312834.0,90416.0,0.0,116.0,530.0,6951.0,320.0,0.0
